代码,名称,最新收盘,量能强度,5周线偏离%,洗盘状态,3w实战建议
000881,中广核技,7.85,1.76,1.21,持续放量(观察),分配1w(轻仓试探)
002057,中钢天源,9.82,1.57,2.81,持续放量(观察),分配1w(轻仓试探)
600727,鲁北化工,8.29,1.56,0.24,持续放量(观察),分配1w(轻仓试探)
603768,常青股份,11.16,1.52,-4.83,有缩量回踩(优质),分配1.5w(狙击)
