代码,名称,最新收盘,量能强度,5周线偏离%,洗盘状态,3w实战建议
603356,华菱精工,18.34,1.92,-2.54,有缩量回踩(优质),分配1.5w(狙击)
002584,西陇科学,7.93,1.54,0.41,有缩量回踩(优质),分配1.5w(狙击)
000837,秦川机床,12.2,1.52,0.3,有缩量回踩(优质),分配1.5w(狙击)
