代码,名称,收盘价,量能倍数,5周偏离%,洗盘痕迹,状态
600995,南网储能,15.58,1.19,3.88,无,形态已成
600027,华电国际,5.6,1.14,4.63,无,形态已成
603768,常青股份,11.54,1.06,-2.22,无,形态已成
600508,上海能源,14.38,1.06,4.8,无,形态已成
000530,冰山冷热,6.25,1.06,3.17,有,形态已成
600727,鲁北化工,8.7,1.04,4.17,有,形态已成
002527,新时达,14.64,1.02,4.1,无,形态已成
000920,沃顿科技,12.28,0.97,3.12,无,潜伏中
600971,恒源煤电,7.95,0.97,3.41,无,潜伏中
601298,青岛港,9.36,0.91,3.4,有,潜伏中
600674,川投能源,15.44,0.87,1.51,有,潜伏中
003037,三和管桩,7.24,0.86,1.89,无,潜伏中
002319,乐通股份,12.24,0.86,3.26,有,潜伏中
603518,锦泓集团,9.01,0.81,-3.31,无,潜伏中
603006,联明股份,13.84,0.81,-1.33,无,潜伏中
603213,镇洋发展,14.59,0.8,3.42,无,潜伏中
