代码,名称,收盘价,量能倍数,5周偏离%,洗盘痕迹,状态
603633,徕木股份,8.62,2.04,2.08,有,形态已成
000881,中广核技,7.85,1.76,1.21,无,形态已成
600995,南网储能,15.65,1.73,4.25,无,形态已成
000530,冰山冷热,6.24,1.62,3.04,有,形态已成
600027,华电国际,5.44,1.58,2.26,无,形态已成
002057,中钢天源,9.82,1.57,2.81,无,形态已成
600727,鲁北化工,8.29,1.56,0.24,有,形态已成
603768,常青股份,11.16,1.52,-4.83,无,形态已成
000920,沃顿科技,12.42,1.5,4.05,无,形态已成
600012,皖通高速,16.45,1.48,2.02,有,形态已成
603861,白云电器,17.35,1.46,4.95,有,形态已成
603637,镇海股份,16.98,1.38,-7.52,有,形态已成
000582,北部湾港,13.42,1.35,3.15,无,形态已成
600674,川投能源,15.57,1.33,2.19,有,形态已成
600795,国电电力,5.16,1.31,3.16,无,形态已成
601298,青岛港,9.34,1.3,3.23,有,形态已成
600906,财达证券,6.66,1.29,2.87,无,形态已成
002319,乐通股份,11.75,1.28,-0.05,有,形态已成
002055,得润电子,6.72,1.26,1.08,无,形态已成
601985,中国核电,9.25,1.25,2.3,无,形态已成
000823,超声电子,17.41,1.25,3.73,无,形态已成
600573,惠泉啤酒,12.3,1.25,-5.96,无,形态已成
600630,龙头股份,8.32,1.25,3.02,无,形态已成
600642,申能股份,10.12,1.23,3.75,无,形态已成
002351,漫步者,10.96,1.22,-2.02,无,形态已成
002243,力合科创,9.1,1.22,1.9,无,形态已成
600110,诺德股份,11.54,1.22,4.23,有,形态已成
603006,联明股份,13.18,1.19,-5.14,无,形态已成
600021,上海电力,19.8,1.18,4.76,无,形态已成
000737,北方铜业,14.23,1.16,-0.99,无,形态已成
601838,成都银行,18.83,1.15,0.63,有,形态已成
603328,依顿电子,13.07,1.15,3.85,无,形态已成
600350,山东高速,11.4,1.15,-1.66,无,形态已成
603060,国检集团,7.21,1.13,4.58,无,形态已成
002606,大连电瓷,13.98,1.12,-10.69,无,形态已成
600977,中国电影,14.44,1.11,0.35,有,形态已成
600737,中粮糖业,14.7,1.11,0.45,无,形态已成
603995,甬金股份,18.9,1.11,-2.31,有,形态已成
603527,众源新材,13.6,1.1,1.52,无,形态已成
603327,福蓉科技,10.27,1.1,-3.24,有,形态已成
600377,宁沪高速,12.75,1.09,2.29,有,形态已成
601566,九牧王,11.08,1.08,-3.85,无,形态已成
603466,风语筑,11.0,1.08,3.93,无,形态已成
000630,铜陵有色,6.69,1.08,1.86,无,形态已成
002216,三全食品,12.69,1.07,-6.46,有,形态已成
600744,华银电力,8.79,1.06,3.34,有,形态已成
000411,英特集团,11.68,1.06,0.6,有,形态已成
603779,威龙股份,8.86,1.06,-9.79,有,形态已成
600558,大西洋,5.62,1.06,-0.85,无,形态已成
003000,劲仔食品,10.65,1.05,-2.38,有,形态已成
002012,凯恩股份,7.57,1.05,1.15,无,形态已成
002571,德力股份,11.99,1.05,1.2,无,形态已成
603399,永杉锂业,16.33,1.04,-15.63,无,形态已成
002354,天娱数科,6.05,1.03,-7.63,无,形态已成
002406,远东传动,7.58,1.03,-8.19,无,形态已成
002480,新筑股份,6.41,1.03,1.33,无,形态已成
601997,贵阳银行,5.87,1.02,-1.11,有,形态已成
603587,地素时尚,12.21,1.01,-4.73,无,形态已成
002457,青龙管业,11.9,1.01,-2.86,无,形态已成
000848,承德露露,7.91,1.0,-7.81,有,潜伏中
002235,安妮股份,10.1,1.0,-6.48,无,潜伏中
603015,弘讯科技,12.53,0.99,2.1,无,潜伏中
000791,甘肃能源,9.78,0.98,4.29,无,潜伏中
603335,迪生力,6.92,0.98,-4.26,有,潜伏中
000598,兴蓉环境,6.92,0.97,2.28,无,潜伏中
600919,江苏银行,11.24,0.97,0.12,无,潜伏中
600023,浙能电力,6.24,0.96,2.67,无,潜伏中
601163,三角轮胎,13.95,0.96,-3.33,无,潜伏中
600769,祥龙电业,15.57,0.96,-12.87,无,潜伏中
002062,宏润建设,8.0,0.96,-11.7,无,潜伏中
002678,珠江钢琴,6.02,0.96,-1.25,有,潜伏中
603038,华立股份,15.44,0.95,-3.8,有,潜伏中
002615,哈尔斯,8.12,0.95,-2.54,无,潜伏中
601177,杭齿前进,14.5,0.95,-12.7,无,潜伏中
601988,中国银行,5.9,0.95,1.41,无,潜伏中
600189,泉阳泉,7.67,0.94,-7.3,无,潜伏中
000429,粤高速Ａ,13.85,0.94,3.4,无,潜伏中
600883,博闻科技,8.12,0.93,-7.96,无,潜伏中
002861,瀛通通讯,18.01,0.93,-0.41,无,潜伏中
601665,齐鲁银行,6.0,0.93,-2.53,有,潜伏中
601677,明泰铝业,19.1,0.92,4.51,有,潜伏中
601636,旗滨集团,6.56,0.92,0.58,无,潜伏中
002559,亚威股份,9.7,0.92,-7.97,无,潜伏中
603339,四方科技,13.61,0.92,1.37,无,潜伏中
002833,弘亚数控,18.28,0.92,-8.85,无,潜伏中
002695,煌上煌,11.94,0.92,-2.44,无,潜伏中
603703,盛洋科技,12.61,0.9,-6.76,无,潜伏中
000758,中色股份,6.83,0.9,-2.93,无,潜伏中
601939,建设银行,10.03,0.9,1.11,有,潜伏中
600203,福日电子,12.45,0.9,-1.88,无,潜伏中
600236,桂冠电力,11.48,0.9,4.36,无,潜伏中
002845,同兴达,15.57,0.9,3.1,无,潜伏中
002181,粤 传 媒,15.33,0.9,-8.35,无,潜伏中
000859,国风新材,10.45,0.89,3.57,有,潜伏中
002449,国星光电,8.42,0.89,0.86,无,潜伏中
603993,洛阳钼业,18.74,0.89,-1.22,无,潜伏中
603155,新亚强,19.7,0.88,3.23,无,潜伏中
000682,东方电子,12.99,0.88,-3.33,无,潜伏中
002875,安奈儿,19.63,0.88,-12.58,有,潜伏中
003025,思进智能,14.0,0.87,-3.7,无,潜伏中
002129,TCL中环,9.55,0.87,0.7,无,潜伏中
603356,华菱精工,17.98,0.87,-5.57,无,潜伏中
603602,纵横通信,13.32,0.85,-1.3,无,潜伏中
002668,TCL智家,9.28,0.85,-3.21,无,潜伏中
