代码,名称,最新收盘,量能强度,5周线偏离%,洗盘状态,3w实战建议
600203,福日电子,12.82,2.21,1.42,有缩量回踩(优质),分配1.5w(狙击)
003037,三和管桩,7.28,1.84,2.56,有缩量回踩(优质),分配1.5w(狙击)
600889,南京化纤,15.95,1.72,2.32,有缩量回踩(优质),分配1.5w(狙击)
002527,新时达,14.05,1.72,2.41,有缩量回踩(优质),分配1.5w(狙击)
002171,楚江新材,11.92,1.56,1.76,有缩量回踩(优质),分配1.5w(狙击)
