代码,名称,收盘价,量能倍数,5周偏离%,洗盘痕迹,状态
000715,中兴商业,6.01,1.77,4.2,无,形态已成
002658,雪迪龙,8.87,1.44,4.53,有,形态已成
603189,网达软件,12.79,1.43,-22.07,有,形态已成
002403,爱仕达,10.73,1.42,2.66,无,形态已成
603339,四方科技,13.75,1.41,4.47,有,形态已成
603587,地素时尚,12.82,1.39,4.01,有,形态已成
600215,派斯林,6.83,1.37,2.28,有,形态已成
002045,国光电器,11.55,1.36,-1.05,有,形态已成
000803,山高环能,7.76,1.31,-6.66,有,形态已成
002763,汇洁股份,8.28,1.31,4.52,无,形态已成
002708,光洋股份,13.57,1.31,4.58,有,形态已成
600232,金鹰股份,8.62,1.29,2.96,无,形态已成
002749,国光股份,12.38,1.25,-3.99,有,形态已成
002333,罗普斯金,5.75,1.25,2.35,有,形态已成
002825,纳尔股份,10.1,1.24,-3.83,无,形态已成
002434,万里扬,7.43,1.23,-5.81,无,形态已成
603035,常熟汽饰,13.51,1.22,-2.97,无,形态已成
603856,东宏股份,12.75,1.22,0.02,有,形态已成
600446,金证股份,13.31,1.2,3.69,无,形态已成
002629,仁智股份,6.73,1.16,1.42,有,形态已成
002123,梦网科技,9.98,1.16,0.69,有,形态已成
600288,大恒科技,15.4,1.16,3.52,有,形态已成
600846,同济科技,12.33,1.14,1.5,有,形态已成
002383,合众思壮,9.96,1.13,3.79,有,形态已成
600838,上海九百,9.73,1.1,-3.2,有,形态已成
600730,中国高科,8.94,1.09,-1.48,无,形态已成
000030,富奥股份,5.34,1.08,3.57,无,形态已成
002949,华阳国际,14.24,1.08,3.2,有,形态已成
002540,亚太科技,6.29,1.08,-4.44,有,形态已成
000626,远大控股,8.72,1.06,4.63,有,形态已成
000859,国风新材,9.73,1.04,-0.84,有,形态已成
002541,鸿路钢构,20.0,1.04,-3.29,有,形态已成
002963,豪尔赛,15.11,1.04,2.27,无,形态已成
001338,永顺泰,12.54,1.03,-5.13,有,形态已成
603162,海通发展,14.59,1.03,3.84,有,形态已成
605066,天正电气,7.67,1.03,-4.1,有,形态已成
000892,欢瑞世纪,6.12,1.0,-0.26,有,形态已成
605368,蓝天燃气,7.8,1.0,-4.32,有,潜伏中
600212,绿能慧充,7.85,1.0,4.19,无,潜伏中
601636,旗滨集团,6.12,1.0,4.65,无,形态已成
000425,徐工机械,9.97,1.0,-2.35,无,形态已成
603909,建发合诚,12.23,0.99,2.12,无,潜伏中
002268,电科网安,16.42,0.98,-2.11,有,潜伏中
000739,普洛药业,18.4,0.97,3.2,无,潜伏中
603928,兴业股份,15.61,0.97,4.79,有,潜伏中
600058,五矿发展,11.23,0.96,0.65,有,潜伏中
002584,西陇科学,7.81,0.96,1.01,有,潜伏中
002706,良信股份,10.74,0.94,3.15,有,潜伏中
000017,深中华A,6.49,0.94,-3.28,有,潜伏中
002441,众业达,9.52,0.93,-3.6,有,潜伏中
600886,国投电力,13.51,0.93,-1.54,有,潜伏中
001322,箭牌家居,7.22,0.93,-1.34,无,潜伏中
002972,科安达,13.32,0.92,3.84,有,潜伏中
002169,智光电气,13.93,0.92,-3.29,有,潜伏中
002016,世荣兆业,5.55,0.92,-2.25,有,潜伏中
000735,罗 牛 山,6.94,0.92,2.91,有,潜伏中
002212,天融信,7.76,0.92,4.02,有,潜伏中
002276,万马股份,14.72,0.91,3.46,有,潜伏中
605108,同庆楼,16.69,0.91,0.97,有,潜伏中
603095,越剑智能,18.27,0.91,2.04,有,潜伏中
002373,千方科技,9.95,0.9,2.81,无,潜伏中
600618,氯碱化工,13.07,0.9,2.85,有,潜伏中
000159,国际实业,6.56,0.9,2.24,有,潜伏中
002527,新时达,13.39,0.89,-0.46,有,潜伏中
600530,交大昂立,5.14,0.89,-1.95,无,潜伏中
600768,宁波富邦,17.13,0.89,0.6,无,潜伏中
000759,中百集团,5.34,0.88,-2.87,有,潜伏中
002695,煌上煌,11.44,0.88,4.15,无,潜伏中
002067,景兴纸业,5.0,0.87,3.14,有,潜伏中
002488,金固股份,11.62,0.87,-1.71,无,潜伏中
601566,九牧王,10.64,0.87,0.34,无,潜伏中
002564,天沃科技,6.29,0.87,2.21,无,潜伏中
002634,棒杰股份,5.25,0.87,-27.88,无,潜伏中
601700,风范股份,5.07,0.87,-3.1,有,潜伏中
600095,湘财股份,9.49,0.87,1.32,无,潜伏中
000039,中集集团,11.6,0.86,1.56,无,潜伏中
600191,华资实业,12.86,0.86,4.79,有,潜伏中
002394,联发股份,14.15,0.86,3.01,有,潜伏中
000498,山东路桥,5.75,0.85,-0.55,无,潜伏中
002254,泰和新材,10.87,0.85,3.44,有,潜伏中
605001,威奥股份,7.16,0.85,-1.76,无,潜伏中
