代码,名称,收盘价,量能倍数,5周偏离%,洗盘痕迹,状态
000950,重药控股,6.08,2.93,1.1,无,形态已成
603182,嘉华股份,15.62,2.43,0.49,无,形态已成
002752,昇兴股份,6.54,2.41,4.47,无,形态已成
603327,福蓉科技,9.85,2.28,4.79,有,形态已成
002037,保利联合,8.6,2.12,4.27,有,形态已成
002598,山东章鼓,8.06,2.04,-10.72,无,形态已成
002678,珠江钢琴,5.27,1.89,-2.77,有,形态已成
600356,恒丰纸业,9.07,1.84,2.79,无,形态已成
600721,百花医药,9.41,1.77,-1.77,有,形态已成
600749,西藏旅游,16.99,1.68,4.26,无,形态已成
000892,欢瑞世纪,6.39,1.61,4.72,有,形态已成
600415,小商品城,13.1,1.59,-1.33,无,形态已成
002806,华锋股份,14.69,1.56,4.57,有,形态已成
600151,航天机电,13.72,1.52,3.36,无,形态已成
002676,顺威股份,6.85,1.47,0.65,无,形态已成
002347,泰尔股份,8.29,1.44,-0.22,无,形态已成
002188,中天服务,6.26,1.44,-3.31,无,形态已成
600986,浙文互联,10.34,1.43,4.61,有,形态已成
002639,雪人集团,19.55,1.37,3.33,有,形态已成
002579,中京电子,12.65,1.35,3.4,无,形态已成
605077,华康股份,14.77,1.34,-2.24,无,形态已成
002907,华森制药,14.17,1.34,1.45,无,形态已成
600250,南京商旅,12.51,1.3,2.96,无,形态已成
002820,桂发祥,10.37,1.3,-3.73,无,形态已成
002825,纳尔股份,11.0,1.29,4.96,无,形态已成
603567,珍宝岛,6.83,1.28,-2.9,无,形态已成
000617,中油资本,10.26,1.27,1.79,无,形态已成
003040,楚天龙,16.71,1.27,1.63,有,形态已成
000551,创元科技,14.03,1.27,3.96,无,形态已成
600218,全柴动力,10.07,1.26,3.54,有,形态已成
600970,中材国际,10.81,1.25,2.37,无,形态已成
002357,富临运业,11.55,1.25,-14.97,有,形态已成
601108,财通证券,8.25,1.24,3.31,无,形态已成
605136,丽人丽妆,10.28,1.22,2.57,有,形态已成
603335,迪生力,6.16,1.21,4.09,无,形态已成
002584,西陇科学,7.76,1.2,-1.97,有,形态已成
002675,东诚药业,13.89,1.2,2.37,无,形态已成
600080,金花股份,8.94,1.2,4.05,有,形态已成
002319,乐通股份,11.28,1.2,-3.21,无,形态已成
603189,网达软件,17.05,1.18,-8.72,无,形态已成
601598,中国外运,6.28,1.17,4.08,无,形态已成
600203,福日电子,11.29,1.16,1.64,有,形态已成
000506,招金黄金,17.93,1.15,4.95,无,形态已成
002044,美年健康,5.32,1.14,-6.31,有,形态已成
600848,上海临港,9.9,1.14,-2.02,无,形态已成
600126,杭钢股份,8.83,1.14,1.8,有,形态已成
600257,大湖股份,6.65,1.13,0.82,无,形态已成
002858,力盛体育,14.94,1.12,1.07,无,形态已成
600127,金健米业,7.29,1.12,1.99,无,形态已成
600446,金证股份,13.0,1.11,-0.69,无,形态已成
600692,亚通股份,7.53,1.11,-4.25,无,形态已成
600596,新安股份,12.03,1.1,4.63,有,形态已成
603515,欧普照明,19.28,1.1,0.82,无,形态已成
603903,中持股份,11.95,1.09,3.52,无,形态已成
600571,信雅达,13.55,1.08,-0.82,无,形态已成
000532,华金资本,13.66,1.08,-0.67,无,形态已成
001330,博纳影业,7.2,1.08,3.6,有,形态已成
600682,南京新百,7.35,1.08,4.23,无,形态已成
603214,爱婴室,16.26,1.07,0.58,有,形态已成
603871,嘉友国际,13.77,1.05,-3.22,无,形态已成
600730,中国高科,9.3,1.04,1.13,无,形态已成
002790,瑞尔特,7.77,1.04,-1.3,无,形态已成
000048,京基智农,15.35,1.04,-18.66,无,形态已成
001313,粤海饲料,7.81,1.04,3.03,无,形态已成
600444,国机通用,17.75,1.04,1.09,无,形态已成
002765,蓝黛科技,10.38,1.03,1.17,无,形态已成
000796,凯撒旅业,5.39,1.02,2.32,无,形态已成
603277,银都股份,14.25,1.02,-1.89,无,形态已成
600222,太龙药业,7.25,1.01,0.53,无,形态已成
002471,中超控股,8.81,1.0,3.55,无,形态已成
002029,七 匹 狼,10.12,1.0,0.82,无,潜伏中
603928,兴业股份,14.96,1.0,1.26,有,形态已成
002043,兔 宝 宝,14.03,1.0,-4.21,无,潜伏中
002534,西子洁能,17.9,0.99,3.5,有,潜伏中
002800,天顺股份,17.04,0.99,-17.64,无,潜伏中
603633,徕木股份,7.72,0.99,-0.34,无,潜伏中
600651,飞乐音响,7.04,0.99,-1.98,无,潜伏中
600973,宝胜股份,7.09,0.99,4.45,有,潜伏中
000559,万向钱潮,16.32,0.99,3.23,有,潜伏中
000592,平潭发展,11.43,0.98,4.48,无,潜伏中
000566,海南海药,5.29,0.98,-1.67,无,潜伏中
002427,尤夫股份,6.76,0.98,4.22,有,潜伏中
003042,中农联合,17.6,0.97,1.1,无,潜伏中
000948,南天信息,15.21,0.96,-1.13,有,潜伏中
600560,金自天正,14.7,0.96,-0.74,无,潜伏中
000686,东北证券,8.27,0.96,0.53,有,潜伏中
000753,漳州发展,6.68,0.95,-0.68,无,潜伏中
002583,海能达,10.51,0.95,0.55,无,潜伏中
605555,德昌股份,15.37,0.95,-2.23,有,潜伏中
002023,海特高新,10.64,0.94,1.01,有,潜伏中
600095,湘财股份,9.43,0.94,-0.8,无,潜伏中
600258,首旅酒店,15.1,0.93,-6.48,无,潜伏中
600857,宁波中百,11.94,0.93,-0.58,无,潜伏中
600012,皖通高速,14.8,0.93,-2.63,无,潜伏中
002492,恒基达鑫,7.96,0.92,3.51,有,潜伏中
000030,富奥股份,5.12,0.92,1.15,无,潜伏中
002094,青岛金王,6.52,0.92,-1.69,有,潜伏中
000823,超声电子,14.61,0.92,2.48,有,潜伏中
002045,国光电器,11.86,0.92,-0.82,有,潜伏中
002462,嘉事堂,14.57,0.92,-0.12,无,潜伏中
002688,金河生物,6.03,0.91,0.8,无,潜伏中
603707,健友股份,9.96,0.91,1.67,无,潜伏中
603385,惠达卫浴,6.56,0.91,-1.74,无,潜伏中
600768,宁波富邦,16.88,0.91,0.97,无,潜伏中
002600,领益智造,13.61,0.91,1.69,无,潜伏中
603758,秦安股份,12.84,0.91,-0.8,无,潜伏中
002275,桂林三金,14.24,0.91,0.78,无,潜伏中
000590,启迪药业,11.38,0.91,-3.23,无,潜伏中
600909,华安证券,5.69,0.91,-1.04,无,潜伏中
605151,西上海,19.28,0.91,3.1,无,潜伏中
002576,通达动力,18.53,0.9,0.89,无,潜伏中
002196,方正电机,14.35,0.9,3.55,有,潜伏中
601696,中银证券,12.8,0.9,1.03,有,潜伏中
603176,汇通集团,5.45,0.9,0.52,无,潜伏中
600601,方正科技,10.11,0.9,0.8,有,潜伏中
605500,森林包装,8.89,0.9,-0.87,无,潜伏中
600897,厦门空港,16.37,0.89,1.8,无,潜伏中
601212,白银有色,8.04,0.89,-1.95,有,潜伏中
003003,天元股份,13.16,0.89,1.14,无,潜伏中
600422,昆药集团,11.31,0.89,-2.55,无,潜伏中
605069,正和生态,12.36,0.89,-0.56,有,潜伏中
601198,东兴证券,12.81,0.89,-0.76,无,潜伏中
605336,帅丰电器,15.6,0.88,4.07,无,潜伏中
002105,信隆健康,6.38,0.88,-1.6,无,潜伏中
600241,时代万恒,9.64,0.88,4.08,无,潜伏中
000987,越秀资本,8.38,0.88,-1.2,无,潜伏中
002201,九鼎新材,11.54,0.88,2.43,有,潜伏中
601600,中国铝业,12.35,0.88,1.88,无,潜伏中
002478,常宝股份,11.31,0.88,2.99,有,潜伏中
603178,圣龙股份,15.52,0.88,-0.04,有,潜伏中
002372,伟星新材,10.61,0.87,-3.81,无,潜伏中
600054,黄山旅游,12.29,0.87,-6.15,无,潜伏中
000633,合金投资,6.91,0.87,1.83,无,潜伏中
603602,纵横通信,13.17,0.87,0.2,有,潜伏中
600558,大西洋,5.48,0.87,-3.52,有,潜伏中
600933,爱柯迪,17.26,0.87,1.24,有,潜伏中
002599,盛通股份,7.16,0.87,0.67,有,潜伏中
600353,旭光电子,15.02,0.87,2.0,无,潜伏中
600235,民丰特纸,6.88,0.87,2.59,无,潜伏中
000811,冰轮环境,18.66,0.87,3.43,有,潜伏中
000026,飞亚达,14.92,0.87,2.63,无,潜伏中
600366,宁波韵升,12.5,0.87,2.81,有,潜伏中
603162,海通发展,14.04,0.87,3.22,有,潜伏中
600643,爱建集团,5.18,0.86,2.98,无,潜伏中
600703,三安光电,11.94,0.86,-15.71,无,潜伏中
002783,凯龙股份,9.63,0.86,2.21,有,潜伏中
002644,佛慈制药,8.67,0.86,0.14,无,潜伏中
000061,农 产 品,7.23,0.86,-9.15,无,潜伏中
600212,绿能慧充,7.51,0.85,1.71,无,潜伏中
002205,国统股份,12.91,0.85,-0.63,无,潜伏中
603300,海南华铁,6.77,0.85,-1.2,无,潜伏中
600063,皖维高新,7.23,0.85,3.49,有,潜伏中
601177,杭齿前进,14.57,0.85,-0.87,无,潜伏中
002414,高德红外,13.54,0.85,1.53,有,潜伏中
002559,亚威股份,10.1,0.85,3.17,有,潜伏中
002117,东港股份,9.93,0.85,-3.27,无,潜伏中
000039,中集集团,11.91,0.85,4.68,无,潜伏中
601339,百隆东方,7.54,0.85,3.4,有,潜伏中
601319,中国人保,7.46,0.85,-4.33,无,潜伏中
600189,泉阳泉,7.59,0.85,-1.25,无,潜伏中
002494,华斯股份,5.21,0.84,-0.88,无,潜伏中
600748,上实发展,5.16,0.84,2.79,无,潜伏中
603238,诺邦股份,15.89,0.84,-0.84,无,潜伏中
002631,德尔未来,7.25,0.84,2.87,有,潜伏中
002410,广联达,11.35,0.84,-1.75,无,潜伏中
600493,凤竹纺织,7.4,0.84,1.37,无,潜伏中
000890,法尔胜,14.21,0.84,4.61,无,潜伏中
002476,宝莫股份,6.03,0.84,2.59,有,潜伏中
000695,滨海能源,13.45,0.84,0.4,无,潜伏中
600576,祥源文旅,5.81,0.84,-3.87,无,潜伏中
605208,永茂泰,13.6,0.84,4.07,无,潜伏中
600419,天润乳业,9.6,0.84,2.21,无,潜伏中
601058,赛轮轮胎,13.58,0.84,0.4,无,潜伏中
000700,模塑科技,11.28,0.84,-5.08,无,潜伏中
002802,洪汇新材,13.36,0.83,2.96,无,潜伏中
002123,梦网科技,10.02,0.83,-1.8,有,潜伏中
002204,大连重工,6.76,0.83,0.12,无,潜伏中
002027,分众传媒,6.47,0.83,-1.28,无,潜伏中
