代码,名称,最新收盘,量能强度,5周线偏离%,洗盘状态,3w实战建议
600356,恒丰纸业,9.07,1.84,2.79,有缩量回踩(优质),分配1.5w(狙击)
600415,小商品城,13.1,1.59,-1.33,持续放量(观察),分配1w(轻仓试探)
