代码,名称,最新收盘,量能强度,5周线偏离%,洗盘状态,3w实战建议
601002,晋亿实业,5.48,2.2,0.81,有缩量回踩(优质),分配1.5w(狙击)
000913,钱江摩托,15.31,2.18,0.9,有缩量回踩(优质),分配1.5w(狙击)
000030,富奥股份,5.12,2.16,-1.01,有缩量回踩(优质),分配1.5w(狙击)
600802,福建水泥,6.1,1.58,0.66,有缩量回踩(优质),分配1.5w(狙击)
002016,世荣兆业,5.78,1.57,-1.57,持续放量(观察),分配1w(轻仓试探)
