代码,名称,收盘价,量能倍数,5周偏离%,洗盘痕迹,状态
002644,佛慈制药,8.85,1.59,1.44,有,形态已成
002972,科安达,12.86,1.53,4.6,无,形态已成
003042,中农联合,18.61,1.25,3.07,无,形态已成
001313,粤海饲料,7.77,1.22,3.82,无,形态已成
605388,均瑶健康,6.76,1.18,1.02,无,形态已成
002907,华森制药,14.23,1.16,2.01,无,形态已成
600802,福建水泥,6.4,1.14,4.58,无,形态已成
603886,元祖股份,12.47,1.14,0.13,无,形态已成
600099,林海股份,11.32,1.09,2.67,无,形态已成
000632,三木集团,5.0,1.09,2.17,无,形态已成
600748,上实发展,5.1,1.08,0.35,无,形态已成
603766,隆鑫通用,13.5,1.06,-7.31,无,形态已成
002858,力盛体育,16.1,1.04,4.9,无,形态已成
002016,世荣兆业,6.07,1.04,2.36,无,形态已成
002096,易普力,11.53,0.98,-12.35,无,潜伏中
605189,富春染织,14.23,0.96,-0.18,无,潜伏中
600724,宁波富达,6.05,0.94,-1.85,无,潜伏中
603182,嘉华股份,16.24,0.9,3.94,无,潜伏中
603668,天马科技,12.7,0.89,-1.11,无,潜伏中
000810,创维数字,10.93,0.89,-0.55,无,潜伏中
002333,罗普斯金,5.59,0.85,-1.83,无,潜伏中
600419,天润乳业,9.52,0.82,1.1,无,潜伏中
002702,海欣食品,5.89,0.81,0.75,有,潜伏中
000061,农 产 品,7.38,0.8,-12.43,无,潜伏中
