代码,名称,收盘价,量能倍数,5周偏离%,洗盘痕迹,状态
002107,沃华医药,6.95,1.34,4.32,无,形态已成
600106,重庆路桥,6.04,1.21,4.9,无,形态已成
605303,园林股份,18.55,1.13,4.86,无,形态已成
002245,蔚蓝锂芯,18.38,1.12,4.73,无,形态已成
600552,凯盛科技,12.69,0.89,1.72,无,潜伏中
000617,中油资本,10.39,0.89,2.81,无,潜伏中
002820,桂发祥,10.6,0.89,-2.02,无,潜伏中
600817,宇通重工,11.85,0.88,3.35,无,潜伏中
002319,乐通股份,11.59,0.86,-1.08,无,潜伏中
605136,丽人丽妆,10.33,0.83,2.97,有,潜伏中
603189,网达软件,18.09,0.82,-4.21,无,潜伏中
002676,顺威股份,6.98,0.82,2.17,无,潜伏中
002584,西陇科学,7.99,0.82,0.35,有,潜伏中
605077,华康股份,14.96,0.81,-1.23,无,潜伏中
002858,力盛体育,15.45,0.81,3.8,无,潜伏中
