代码,名称,收盘价,量能倍数,5周偏离%,洗盘痕迹,状态
002347,泰尔股份,8.26,1.7,1.0,无,形态已成
002363,隆基机械,8.5,1.64,4.14,有,形态已成
603182,嘉华股份,14.72,1.63,-3.85,无,形态已成
002196,方正电机,14.47,1.3,4.25,有,形态已成
600897,厦门空港,16.83,1.29,4.21,无,形态已成
600848,上海临港,9.55,1.19,-3.48,无,形态已成
002511,中顺洁柔,8.82,1.18,3.89,有,形态已成
000567,海德股份,5.38,1.17,2.91,有,形态已成
600379,宝光股份,12.3,1.17,3.59,无,形态已成
600721,百花医药,9.1,1.13,-4.77,有,形态已成
002583,海能达,10.85,1.13,4.35,无,形态已成
000036,华联控股,5.03,1.11,2.07,有,形态已成
002492,恒基达鑫,7.52,1.08,-0.37,有,形态已成
600510,黑牡丹,8.87,1.04,4.77,有,形态已成
600271,航天信息,8.68,1.03,1.54,有,形态已成
002907,华森制药,14.52,1.03,3.33,无,形态已成
605069,正和生态,12.51,1.02,3.18,有,形态已成
002593,日上集团,5.33,1.02,0.08,有,形态已成
603809,豪能股份,11.25,1.01,4.36,无,形态已成
002598,山东章鼓,8.16,0.98,-5.99,无,潜伏中
600415,小商品城,12.27,0.98,-5.32,无,潜伏中
002951,金时科技,14.93,0.94,1.29,有,潜伏中
002519,银河电子,8.33,0.93,4.75,有,潜伏中
000700,模塑科技,11.94,0.93,1.27,无,潜伏中
002235,安妮股份,9.74,0.92,-2.7,有,潜伏中
002188,中天服务,6.61,0.9,3.54,无,潜伏中
605077,华康股份,14.94,0.88,0.34,无,潜伏中
002012,凯恩股份,7.04,0.87,4.89,无,潜伏中
600058,五矿发展,11.12,0.87,-0.43,有,潜伏中
600776,东方通信,15.62,0.87,2.86,无,潜伏中
600638,新黄浦,5.98,0.86,-0.27,有,潜伏中
600416,湘电股份,12.38,0.86,-1.39,有,潜伏中
000626,远大控股,8.55,0.86,4.12,有,潜伏中
603915,国茂股份,15.44,0.86,3.32,无,潜伏中
600765,中航重机,16.73,0.86,1.93,有,潜伏中
600768,宁波富邦,16.19,0.85,-1.75,无,潜伏中
002115,三维通信,12.5,0.84,3.6,有,潜伏中
605228,神通科技,14.71,0.83,2.47,无,潜伏中
600080,金花股份,8.33,0.83,-2.44,有,潜伏中
002346,柘中股份,19.21,0.83,1.32,有,潜伏中
603278,大业股份,10.92,0.81,1.41,无,潜伏中
600215,派斯林,6.65,0.81,-0.42,有,潜伏中
002264,新 华 都,8.38,0.81,2.1,无,潜伏中
003016,欣贺股份,8.25,0.81,2.46,无,潜伏中
603305,旭升集团,15.18,0.81,3.92,无,潜伏中
