年份,交易次数,胜率%,均益%,盈亏比
1991,1,100.0,92.71,0.0
1992,1,100.0,131.1,0.0
1993,4,50.0,-1.54,0.55
1994,20,15.0,-7.54,0.9
1995,18,16.67,-6.04,0.64
1996,31,45.16,4.46,2.28
1997,15,20.0,-3.58,2.05
1998,130,45.38,1.56,1.74
1999,86,18.6,0.36,4.68
2000,112,32.77,-0.52,1.63
2001,231,35.62,-2.84,0.73
2002,338,13.82,-4.71,0.59
2003,319,36.88,-1.58,1.01
2004,195,39.49,-1.34,1.04
2005,181,15.76,-4.05,2.81
2006,81,58.54,44.72,8.7
2007,74,62.16,33.91,5.25
2008,55,25.0,11.51,7.44
2009,86,30.23,-2.38,1.24
2010,145,30.34,-2.1,1.34
2011,138,13.04,-4.99,1.61
2012,239,58.51,-0.15,0.66
2013,220,26.24,-1.69,1.92
2014,231,51.95,13.56,4.75
2015,90,38.89,2.09,2.12
2016,150,26.62,-1.86,1.51
2017,365,16.35,-3.51,1.67
2018,124,13.71,-4.92,1.7
2019,133,21.99,-2.42,1.83
2020,210,24.09,-1.1,2.31
2021,259,26.64,-0.44,2.5
2022,281,16.67,-2.94,2.38
2023,361,16.3,-4.41,0.91
2024,183,27.03,-1.37,1.9
2025,379,37.99,1.89,2.56
2026,1,0.0,-4.37,
所有年份总计,5541,29.18,0.03,2.41
