代码,名称,收盘价,量能倍数,5周偏离%,洗盘痕迹,状态
603055,台华新材,9.49,2.08,3.17,无,形态已成
603967,中创物流,13.13,2.05,1.39,有,形态已成
603610,麒盛科技,19.46,1.87,-1.2,有,形态已成
001299,美能能源,12.79,1.67,1.86,有,形态已成
600998,九州通,5.25,1.61,1.9,有,形态已成
600352,浙江龙盛,11.27,1.59,4.53,有,形态已成
000635,英 力 特,9.83,1.57,4.93,有,形态已成
002232,启明信息,19.97,1.54,4.69,有,形态已成
000630,铜陵有色,5.7,1.5,-0.18,无,形态已成
601108,财通证券,8.71,1.47,1.02,无,形态已成
601857,中国石油,9.8,1.47,-0.49,无,形态已成
002152,广电运通,13.51,1.47,4.68,无,形态已成
603551,奥普科技,11.38,1.46,-3.71,有,形态已成
000157,中联重科,8.53,1.45,-0.37,有,形态已成
000683,博源化工,7.66,1.45,4.96,有,形态已成
603700,宁水集团,13.61,1.43,3.28,有,形态已成
002117,东港股份,12.08,1.4,-8.33,无,形态已成
002795,永和智控,6.77,1.4,3.08,有,形态已成
002416,爱施德,12.85,1.39,4.56,无,形态已成
603269,海鸥股份,13.71,1.39,2.79,无,形态已成
002293,罗莱生活,9.57,1.38,-2.39,无,形态已成
002599,盛通股份,8.52,1.38,3.83,无,形态已成
000852,石化机械,7.45,1.38,2.67,有,形态已成
600958,东方证券,10.94,1.38,0.96,有,形态已成
000036,华联控股,6.39,1.37,2.96,无,形态已成
603206,嘉环科技,17.81,1.36,3.63,无,形态已成
002387,维信诺,8.88,1.36,2.16,有,形态已成
000065,北方国际,12.5,1.35,0.34,有,形态已成
000528,柳    工,11.8,1.34,-4.38,有,形态已成
002357,富临运业,11.06,1.32,4.72,有,形态已成
600382,广东明珠,7.4,1.32,2.66,有,形态已成
600312,平高电气,18.85,1.27,4.24,有,形态已成
603390,通达电气,13.37,1.26,3.8,有,形态已成
002698,博实股份,16.64,1.26,-0.02,无,形态已成
002539,云图控股,12.13,1.25,4.19,有,形态已成
600251,冠农股份,9.44,1.25,4.03,有,形态已成
600965,福成股份,5.87,1.23,1.31,有,形态已成
000928,中钢国际,6.68,1.23,1.89,有,形态已成
601238,广汽集团,8.43,1.22,1.93,有,形态已成
002203,海亮股份,12.77,1.22,3.45,有,形态已成
002039,黔源电力,17.97,1.22,-1.57,有,形态已成
002363,隆基机械,10.01,1.22,3.45,无,形态已成
002600,领益智造,16.43,1.21,4.77,无,形态已成
002579,中京电子,12.57,1.21,4.85,无,形态已成
000686,东北证券,9.53,1.21,1.6,有,形态已成
601212,白银有色,5.82,1.21,4.53,无,形态已成
603577,汇金通,10.94,1.21,4.83,无,形态已成
000598,兴蓉环境,7.16,1.2,-0.47,无,形态已成
603995,甬金股份,18.8,1.2,4.01,有,形态已成
002611,东方精工,19.28,1.19,3.87,有,形态已成
002643,万润股份,15.73,1.18,4.62,有,形态已成
601111,中国国航,9.13,1.18,2.45,无,形态已成
000739,普洛药业,16.3,1.18,-0.54,有,形态已成
603118,共进股份,11.95,1.18,3.18,有,形态已成
600884,杉杉股份,14.0,1.18,2.03,有,形态已成
000411,英特集团,13.0,1.17,2.9,无,形态已成
605007,五洲特纸,13.33,1.17,1.52,无,形态已成
601019,山东出版,8.66,1.17,-0.09,有,形态已成
002237,恒邦股份,13.88,1.17,4.02,无,形态已成
603889,新澳股份,8.06,1.17,3.79,有,形态已成
002043,兔 宝 宝,13.66,1.16,-2.64,有,形态已成
002051,中工国际,8.91,1.16,-1.11,有,形态已成
000925,众合科技,9.02,1.16,2.2,无,形态已成
601339,百隆东方,5.88,1.16,4.44,有,形态已成
002483,润邦股份,7.24,1.16,1.43,有,形态已成
600598,北大荒,15.35,1.16,2.2,无,形态已成
002406,远东传动,8.05,1.16,4.14,无,形态已成
002372,伟星新材,10.56,1.15,0.04,有,形态已成
603123,翠微股份,14.83,1.15,3.24,无,形态已成
603515,欧普照明,18.72,1.14,2.51,有,形态已成
002033,丽江股份,9.24,1.14,0.5,有,形态已成
600000,浦发银行,11.54,1.14,-2.2,有,形态已成
600742,富维股份,9.83,1.14,-1.84,有,形态已成
002635,安洁科技,14.0,1.13,1.39,有,形态已成
