代码,名称,收盘价,量能倍数,5周偏离%,洗盘痕迹,状态
605155,西大门,17.2,1.95,3.28,有,形态已成
600279,重庆港,5.46,1.45,0.85,有,形态已成
002243,力合科创,9.95,1.39,2.32,无,形态已成
002293,罗莱生活,10.27,1.33,4.43,无,形态已成
002698,博实股份,16.81,1.32,1.58,无,形态已成
000582,北部湾港,9.38,1.29,0.34,无,形态已成
600784,鲁银投资,6.98,1.28,4.37,无,形态已成
603221,爱丽家居,13.1,1.27,2.7,无,形态已成
002560,通达股份,10.08,1.25,4.26,无,形态已成
000561,烽火电子,12.22,1.23,3.45,无,形态已成
000411,英特集团,12.75,1.22,1.61,无,形态已成
603577,汇金通,10.52,1.21,2.31,有,形态已成
600858,银座股份,6.25,1.16,-4.49,无,形态已成
603017,中衡设计,11.08,1.12,3.13,有,形态已成
000543,皖能电力,7.95,1.1,-4.36,无,形态已成
600028,中国石化,6.18,1.1,4.39,无,形态已成
601700,风范股份,5.66,1.1,3.32,有,形态已成
603333,尚纬股份,8.35,1.1,2.63,有,形态已成
000936,华西股份,8.23,1.1,3.63,有,形态已成
000821,京山轻机,13.47,1.09,2.98,有,形态已成
002117,东港股份,13.81,1.09,3.59,无,形态已成
002856,美芝股份,11.81,1.08,-4.53,无,形态已成
002237,恒邦股份,13.42,1.07,1.76,无,形态已成
600755,厦门国贸,7.19,1.06,0.78,有,形态已成
000967,盈峰环境,7.34,1.04,4.32,无,形态已成
603055,台华新材,9.44,1.04,3.6,有,形态已成
002601,龙佰集团,19.58,1.02,4.95,有,形态已成
000630,铜陵有色,6.01,1.01,4.74,无,形态已成
002538,司尔特,6.42,0.97,-0.56,有,潜伏中
000917,电广传媒,10.28,0.97,4.79,无,潜伏中
002078,太阳纸业,15.75,0.96,2.54,无,潜伏中
000978,桂林旅游,7.24,0.96,4.53,无,潜伏中
002203,海亮股份,12.66,0.95,4.15,有,潜伏中
002579,中京电子,12.18,0.94,3.54,无,潜伏中
603386,骏亚科技,15.33,0.93,-2.63,无,潜伏中
600965,福成股份,5.95,0.93,3.3,有,潜伏中
600320,振华重工,5.15,0.93,4.0,无,潜伏中
002036,联创电子,11.02,0.93,-0.9,无,潜伏中
603977,国泰集团,13.9,0.92,3.3,有,潜伏中
600620,天宸股份,6.5,0.91,1.37,无,潜伏中
002357,富临运业,10.72,0.9,2.43,有,潜伏中
601058,赛轮轮胎,16.18,0.89,-4.44,无,潜伏中
002758,浙农股份,10.07,0.88,0.6,有,潜伏中
600775,南京熊猫,12.22,0.87,3.56,无,潜伏中
000589,贵州轮胎,5.18,0.86,0.97,无,潜伏中
601958,金钼股份,15.58,0.86,4.76,无,潜伏中
600523,贵航股份,15.71,0.85,3.63,无,潜伏中
000060,中金岭南,5.85,0.84,4.24,无,潜伏中
600138,中青旅,9.88,0.84,0.92,无,潜伏中
601108,财通证券,8.72,0.84,2.06,无,潜伏中
002511,中顺洁柔,8.56,0.84,3.36,无,潜伏中
603898,好莱客,13.31,0.84,-0.67,有,潜伏中
600372,中航机载,13.42,0.82,3.25,无,潜伏中
002548,金新农,6.08,0.82,3.9,无,潜伏中
002739,万达电影,11.32,0.81,-0.19,无,潜伏中
