代码,名称,收盘价,量能倍数,5周偏离%,洗盘痕迹,状态
600480,凌云股份,12.54,1.1,1.42,无,形态已成
000881,中广核技,9.3,1.1,2.56,有,形态已成
603315,福鞍股份,15.74,1.09,1.57,有,形态已成
600428,中远海特,7.58,1.09,4.32,有,形态已成
002946,新乳业,19.19,1.09,1.78,有,形态已成
600805,悦达投资,5.92,1.09,4.56,有,形态已成
002655,共达电声,13.49,1.08,3.13,有,形态已成
002066,瑞泰科技,19.63,1.07,2.25,有,形态已成
603917,合力科技,15.51,1.07,4.61,无,形态已成
002458,益生股份,9.21,1.07,4.56,有,形态已成
600415,小商品城,17.08,1.07,3.26,无,形态已成
000589,贵州轮胎,5.15,1.07,0.66,无,形态已成
002334,英威腾,9.56,1.07,3.94,无,形态已成
002111,威海广泰,11.07,1.06,4.1,有,形态已成
600366,宁波韵升,14.92,1.06,3.71,有,形态已成
601890,亚星锚链,10.99,1.06,3.25,有,形态已成
600820,隧道股份,6.7,1.06,1.7,有,形态已成
603660,苏州科达,11.18,1.06,-0.07,无,形态已成
002686,亿利达,7.0,1.06,4.42,有,形态已成
603871,嘉友国际,13.84,1.06,-0.66,有,形态已成
605555,德昌股份,19.16,1.05,3.32,无,形态已成
002892,科力尔,13.62,1.05,1.75,无,形态已成
002184,海得控制,14.14,1.05,4.59,有,形态已成
601777,千里科技,11.5,1.05,1.82,有,形态已成
603027,千禾味业,10.15,1.04,1.99,有,形态已成
000058,深 赛 格,9.87,1.04,3.31,有,形态已成
601801,皖新传媒,7.02,1.04,3.85,无,形态已成
002758,浙农股份,10.74,1.03,4.37,有,形态已成
600037,歌华有线,8.05,1.03,4.79,有,形态已成
603855,华荣股份,19.67,1.03,0.2,有,形态已成
603778,国晟科技,18.6,1.03,-2.32,有,形态已成
600336,澳柯玛,8.83,1.02,4.67,有,形态已成
600095,湘财股份,11.7,1.02,3.01,有,形态已成
002875,安奈儿,17.63,1.02,3.08,无,形态已成
002698,博实股份,17.27,1.02,2.26,无,形态已成
002174,游族网络,12.85,1.02,1.21,有,形态已成
002337,赛象科技,6.89,1.02,3.7,有,形态已成
600354,敦煌种业,6.82,1.01,2.16,无,形态已成
002706,良信股份,11.63,1.01,4.08,无,形态已成
