序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,603352,N至信,68.58,213.44,46.7,349468.0,2527085508.0,63.99,80.0,66.0,66.01,21.88,,78.67,70.66,5.41,15544800023.0,3046486272.0,0.0,0.06,213.44,213.44
2,301348,蓝箭电子,30.28,20.02,5.05,588961.0,1599559972.78,26.04,30.28,23.71,24.16,25.23,2.33,37.96,-205.67,4.88,7267200000.0,4697614068.0,0.0,0.0,25.43,49.98
3,300452,山河药辅,16.85,20.01,2.81,414226.0,669542667.89,15.6,16.85,14.66,14.88,14.04,5.69,20.85,22.35,4.23,3950502956.0,3346867747.0,0.0,0.0,19.76,25.93
4,301629,矽电股份,331.56,20.0,55.26,41203.0,1244825447.0,22.96,331.56,268.11,272.98,276.3,1.35,39.5,414.02,11.87,13835094967.0,3458740752.0,0.0,0.0,74.61,51.95
5,300758,七彩化学,20.22,20.0,3.37,456320.0,920562353.19,3.68,20.22,19.6,20.22,16.85,1.87,12.46,83.9,4.58,8210100411.0,7406605310.0,0.0,0.0,47.05,59.34
6,300530,领湃科技,33.5,18.63,5.26,193030.0,620286455.75,20.75,33.89,28.03,28.24,28.24,5.79,12.2,-38.06,107.54,5760370359.0,5301291686.0,0.0,-0.53,4.33,25.47
7,300236,上海新阳,88.5,16.6,12.6,389125.0,3207489323.18,17.33,88.5,75.35,75.35,75.9,1.55,13.96,98.52,5.11,27734254077.0,24667336580.0,0.1,0.51,49.97,38.8
8,300477,ST合纵,3.32,16.08,0.46,1644621.0,499810572.06,19.58,3.34,2.78,2.82,2.86,2.04,16.6,-19.74,3.61,3559102041.0,3289623856.0,0.3,0.61,66.0,26.72
9,688661,和林微纳,80.95,15.56,10.9,129099.0,984705690.0,20.37,83.36,69.09,69.12,70.05,1.09,8.5,250.72,9.93,12295319515.0,12295319515.0,-0.04,-0.28,65.14,56.39
10,300331,苏大维格,46.01,15.05,6.02,528561.0,2397818835.85,16.78,47.5,40.79,41.01,39.99,1.48,25.14,251.13,7.64,11947061779.0,9672036780.0,0.02,-0.3,43.24,42.18
11,688552,航天南湖,47.63,14.44,6.01,247130.0,1140793688.0,20.25,49.94,41.51,41.82,41.62,1.21,28.46,321.38,6.2,16063122240.0,4135596254.0,0.06,-0.1,24.85,31.14
12,300849,锦盛新材,18.48,13.17,2.15,116968.0,209467504.0,15.55,18.87,16.33,16.34,16.33,3.76,9.63,-219.49,4.7,2772000000.0,2244729065.0,-0.05,0.05,25.2,18.23
13,300340,科恒股份,14.29,13.14,1.66,532361.0,739065767.03,18.53,14.89,12.55,12.64,12.63,5.27,19.47,-21.46,-46.73,3937105277.0,3907787156.0,0.07,0.14,7.2,15.99
14,688155,先惠技术,87.48,13.14,10.16,104354.0,886053291.0,17.55,89.45,75.88,76.71,77.32,1.91,8.25,40.4,5.14,11060621980.0,11060621980.0,-0.01,0.29,32.55,44.71
15,301611,珂玛科技,134.95,12.09,14.56,214174.0,2709529033.8,17.98,138.66,117.01,117.01,120.39,1.11,14.61,180.47,34.07,58838200000.0,19781333746.0,0.18,0.11,147.25,57.41
16,300479,神思电子,23.15,12.05,2.49,573233.0,1351886076.87,21.35,24.79,20.38,20.54,20.66,6.08,29.11,-32.38,10.37,4561496025.0,4558891650.0,0.0,-0.13,21.78,21.08
17,920270,天铭科技,23.16,11.56,2.4,138861.0,330903932.04,24.86,26.66,21.5,21.99,20.76,1.71,17.12,51.91,5.94,2422906560.0,1878931822.0,-0.39,-1.03,25.94,-9.81
18,301075,多瑞医药,62.71,11.48,6.46,26546.0,164706293.44,15.47,64.8,56.1,56.13,56.25,2.02,3.32,-47.19,8.4,5016800000.0,5016800000.0,-0.14,-0.35,17.9,5.09
19,301662,宏工科技,167.12,10.83,16.33,37639.0,617733367.25,12.7,173.0,153.85,156.51,150.79,1.96,22.64,340.87,9.27,13369600000.0,2778841613.0,0.07,-0.34,45.32,38.94
20,301155,海力风电,86.3,10.78,8.4,116103.0,990108787.79,6.84,87.83,82.5,84.87,77.9,3.04,9.41,40.59,3.26,18760884551.0,10645035615.0,-0.01,0.06,-4.43,6.64
21,688037,芯源微,209.09,10.63,20.09,121147.0,2405944803.0,15.33,211.98,183.0,183.6,189.0,0.86,6.01,-3146.4,15.58,42158251321.0,42158251321.0,-0.2,0.05,64.59,40.79
22,300563,神宇股份,42.62,10.39,4.01,395959.0,1671118157.62,16.94,44.59,38.05,38.11,38.61,3.73,31.9,107.59,7.03,7647329018.0,5290168077.0,0.24,0.28,12.25,16.19
23,301275,汉朔科技,78.99,10.24,7.34,132593.0,1007402105.49,16.3,83.68,72.0,74.01,71.65,1.88,39.24,79.59,8.34,33365376000.0,2669230080.0,-0.2,1.3,45.39,47.87
24,688727,恒坤新材,64.0,10.23,5.94,172656.0,1053102705.0,16.62,66.31,56.66,57.2,58.06,1.15,34.36,291.82,11.6,28756454400.0,3215562560.0,-0.12,0.06,326.95,33.98
25,300346,南大光电,62.75,10.15,5.78,1555986.0,9393766684.04,14.36,64.04,55.86,55.86,56.97,1.09,23.7,108.14,12.6,43370095663.0,41198580207.0,0.14,0.69,62.61,46.27
26,002554,惠博普,3.91,10.14,0.36,120710.0,47197684.29,0.0,3.91,3.91,3.91,3.55,0.29,0.91,371.54,2.2,5214845482.0,5213869753.0,0.0,0.0,11.08,22.57
27,601366,利群股份,5.45,10.1,0.5,700909.0,372654482.0,9.9,5.45,4.96,4.96,4.95,1.23,7.51,277.67,1.2,5085181169.0,5085181169.0,0.0,0.0,18.48,11.68
28,600708,光明地产,3.82,10.09,0.35,410060.0,152112201.0,9.8,3.82,3.48,3.48,3.47,1.32,1.84,-9.22,0.93,8513392358.0,8500561085.0,0.0,0.0,-6.14,-1.8
29,002775,文科股份,4.8,10.09,0.44,339177.0,160601874.4,11.47,4.8,4.3,4.36,4.36,3.0,7.19,176.96,11.54,3053993021.0,2262866621.0,0.0,0.0,3.23,12.15
30,600662,外服控股,6.88,10.08,0.63,1452460.0,992028897.0,6.08,6.88,6.5,6.82,6.25,4.6,6.38,22.61,3.11,15710186740.0,15662121251.0,0.0,0.0,26.7,37.05
31,002707,众信旅游,9.09,10.05,0.83,260847.0,237110213.88,0.0,9.09,9.09,9.09,8.26,0.49,3.16,99.97,9.64,8932879650.0,7501133675.0,0.0,0.0,29.67,26.43
32,002787,华源控股,14.25,10.04,1.3,160096.0,221196773.07,11.58,14.25,12.75,12.89,12.95,0.79,6.38,41.84,2.56,4776266536.0,3574756625.0,0.0,0.0,39.71,14.46
33,002119,康强电子,19.86,10.03,1.81,517658.0,985314303.92,11.14,19.86,17.85,17.9,18.05,1.26,13.79,57.98,5.13,7453140240.0,7453140240.0,0.0,0.0,7.99,20.58
34,600785,新华百货,17.11,10.03,1.56,286320.0,486032917.0,3.79,17.11,16.52,17.11,15.55,2.43,12.69,26.93,1.68,3860551201.0,3860551201.0,0.0,0.0,29.72,26.27
35,000751,锌业股份,4.83,10.02,0.44,2410563.0,1141271249.94,10.48,4.83,4.37,4.42,4.39,2.81,17.1,113.82,2.16,7803495774.0,6809666203.0,0.0,0.0,24.48,18.09
36,002153,石基信息,16.14,10.02,1.47,711047.0,1146975870.74,2.25,16.14,15.81,16.14,14.67,0.87,4.44,1561.31,6.33,44049188594.0,25820187797.0,0.0,0.0,62.05,49.03
37,001260,坤泰股份,26.25,10.02,2.39,129097.0,337010767.55,5.24,26.25,25.0,26.25,23.86,2.04,40.66,60.62,3.65,3018750000.0,833437500.0,0.0,0.0,30.73,30.47
38,002218,拓日新能,5.6,10.02,0.51,615009.0,344355479.0,0.98,5.6,5.55,5.6,5.09,0.44,4.42,-54.48,1.95,7912915074.0,7797430194.0,0.0,0.0,54.27,29.03
39,002836,新宏泽,17.14,10.01,1.56,160996.0,265123411.54,12.32,17.14,15.22,15.58,15.58,1.46,6.99,73.56,10.46,3949056000.0,3949056000.0,0.0,0.0,60.49,14.42
40,603320,迪贝电气,20.88,10.01,1.9,167639.0,344415904.0,10.8,20.88,18.83,18.85,18.98,6.52,11.24,35.93,2.67,3114172719.0,3114172719.0,0.0,0.0,2.5,9.55
41,603360,百傲化学,32.64,10.01,2.97,315279.0,997976558.0,12.23,32.64,29.01,29.45,29.67,2.18,4.46,138.31,15.3,23051140067.0,23051140067.0,0.0,0.0,22.75,1.3
42,002130,沃尔核材,29.78,10.01,2.71,1642511.0,4784096533.96,10.64,29.78,26.9,26.9,27.07,2.07,14.35,34.24,6.08,37519779176.0,34083559945.0,0.0,0.0,3.94,13.15
43,002264,新 华 都,12.09,10.01,1.1,1654091.0,1895230987.58,9.92,12.09,11.0,11.2,10.99,1.42,25.26,36.68,4.36,8702518617.0,7916324173.0,0.0,0.0,76.5,36.92
44,001376,百通能源,17.7,10.01,1.61,188754.0,321050913.42,10.57,17.7,16.0,16.05,16.09,1.06,8.83,46.22,6.97,8157930000.0,3783424790.0,0.0,0.0,33.79,5.11
45,600302,标准股份,11.76,10.01,1.07,226895.0,256958293.0,11.88,11.76,10.49,10.55,10.69,1.38,6.56,-66.36,6.86,4069075295.0,4069075295.0,0.0,0.0,58.7,12.11
46,002919,名臣健康,25.72,10.01,2.34,217712.0,540178449.0,11.42,25.72,23.05,23.05,23.38,2.26,8.23,120.83,8.34,6855050418.0,6800063732.0,0.0,0.0,41.4,11.87
47,600410,华胜天成,24.42,10.0,2.22,358163.0,874633020.0,0.0,24.42,24.42,24.42,22.2,0.12,3.27,56.04,5.65,26776400159.0,26776400159.0,0.0,0.0,36.5,36.58
48,002545,东方铁塔,22.87,10.0,2.08,232603.0,519128816.29,9.76,22.87,20.84,21.18,20.79,1.46,2.06,25.77,3.01,28451699838.0,25846844002.0,0.0,0.0,56.75,23.96
49,601231,环旭电子,30.57,10.0,2.78,711139.0,2084996004.0,10.94,30.57,27.53,27.64,27.79,1.8,3.12,41.37,3.38,69679546997.0,69679546997.0,0.0,0.0,43.59,1.9
50,600550,保变电气,13.86,10.0,1.26,2094615.0,2678836004.0,13.57,13.86,12.15,12.28,12.6,0.98,11.37,131.17,32.6,25523584733.0,25523584733.0,0.0,0.0,66.99,31.37
51,603650,彤程新材,59.96,10.0,5.45,394334.0,2247755732.0,11.83,59.96,53.51,53.55,54.51,0.79,6.42,56.08,9.31,36941834001.0,36843824344.0,0.0,0.0,45.25,35.84
52,605580,恒盛能源,27.84,10.0,2.53,240872.0,645773981.0,9.8,27.84,25.36,25.36,25.31,1.45,8.6,61.08,8.08,7795200000.0,7795200000.0,0.0,0.0,-15.71,23.4
53,002842,翔鹭钨业,19.14,10.0,1.74,617996.0,1130541632.06,10.11,19.14,17.38,17.38,17.4,1.11,23.02,90.71,5.61,6262080157.0,5138368594.0,0.0,0.0,83.33,32.37
54,603023,威帝股份,5.94,10.0,0.54,313309.0,182047634.0,11.3,5.94,5.33,5.33,5.4,0.66,5.61,3522.68,4.31,3315217398.0,3315217398.0,0.0,0.0,38.14,18.09
55,002796,世嘉科技,39.5,10.0,3.59,324470.0,1249220978.73,10.0,39.5,35.91,36.0,35.91,0.9,14.25,-146.55,11.64,9968494446.0,8994474019.0,0.0,0.0,116.56,42.45
56,002636,金安国纪,18.04,10.0,1.64,479962.0,828094310.75,11.71,18.04,16.12,16.3,16.4,2.14,6.63,56.96,3.77,13133120000.0,13066650123.0,0.0,0.0,35.33,7.96
57,601208,东材科技,28.71,10.0,2.61,1425560.0,4040111151.0,9.92,28.71,26.12,26.12,26.1,2.15,14.0,77.48,4.94,29230163014.0,29230163014.0,0.0,0.0,49.53,6.37
58,600593,大连圣亚,48.07,10.0,4.37,166796.0,777131190.0,8.17,48.07,44.5,44.75,43.7,2.28,12.95,71.29,25.95,6270491150.0,6191416000.0,0.0,0.0,10.79,16.06
59,001337,四川黄金,34.64,10.0,3.15,220899.0,736313899.65,12.1,34.64,30.83,31.0,31.49,1.23,7.66,29.56,8.4,14548800000.0,9992115840.0,0.0,0.0,23.06,24.34
60,002049,紫光国微,86.69,10.0,7.88,120369.0,1043474786.57,0.0,86.69,86.69,86.69,78.81,0.53,1.42,43.74,5.61,73653961515.0,73640808475.0,0.0,0.0,5.76,10.0
61,603402,陕西旅游,155.84,10.0,14.17,47747.0,723637074.0,5.53,155.84,148.01,148.01,141.67,0.52,24.7,24.48,4.18,12051626771.0,3012906771.0,0.0,0.0,93.73,93.73
62,603938,三孚股份,25.73,10.0,2.34,316436.0,776032107.0,11.76,25.73,22.98,22.98,23.39,0.94,8.27,115.13,3.96,9844928308.0,9844928308.0,0.0,0.0,34.29,34.64
63,001212,中旗新材,53.24,10.0,4.84,121571.0,621592985.71,11.74,53.24,47.56,47.58,48.4,1.75,6.99,2168.63,5.55,10699090382.0,9255706066.0,0.0,0.0,6.33,5.01
64,600389,江山股份,25.22,9.99,2.29,304642.0,747668855.0,10.25,25.22,22.87,22.95,22.93,2.56,7.07,19.16,2.65,10860993000.0,10860993000.0,0.0,0.0,3.36,-0.24
65,000681,视觉中国,35.11,9.99,3.19,2449465.0,8318754793.43,13.78,35.11,30.71,31.81,31.92,1.96,36.22,248.24,6.78,24597273778.0,23743609484.0,0.0,0.0,57.09,47.46
66,605287,德才股份,37.22,9.99,3.38,124188.0,456696809.0,4.79,37.22,35.6,36.0,33.84,1.89,8.87,79.65,3.36,5210800000.0,5210800000.0,0.0,0.0,36.59,43.6
67,001255,博菲电气,50.19,9.99,4.56,51267.0,248993589.04,9.84,50.19,45.7,45.7,45.63,0.91,7.21,451.67,4.95,4338934735.0,3566300640.0,0.0,0.0,56.36,56.7
68,600520,三佳科技,28.84,9.99,2.62,132259.0,376765830.0,11.1,28.84,25.93,26.18,26.22,2.68,8.35,677.11,11.77,4569121200.0,4569121200.0,0.0,0.0,5.49,17.24
69,603000,人民网,30.83,9.99,2.8,2407212.0,7330434676.0,6.71,30.83,28.95,29.44,28.03,5.24,21.77,759.95,9.28,34088455256.0,34088455256.0,0.0,0.0,60.16,61.84
70,002112,三变科技,21.15,9.98,1.92,1411659.0,2939843671.47,6.6,21.15,19.88,20.12,19.23,2.31,53.86,116.19,7.14,6220876614.0,5542982483.0,0.0,0.0,61.08,59.5
71,600058,五矿发展,12.67,9.98,1.15,173001.0,219192761.0,0.0,12.67,12.67,12.67,11.52,0.55,1.61,89.34,2.72,13581108708.0,13581108708.0,0.0,0.0,40.31,9.98
72,600725,云维股份,4.52,9.98,0.41,1099675.0,489412289.0,11.44,4.52,4.05,4.1,4.11,4.09,8.92,-241.26,19.88,5570764400.0,5570764400.0,0.0,0.0,19.89,8.13
73,603161,科华控股,15.54,9.98,1.41,103996.0,159208715.0,10.69,15.54,14.03,14.19,14.13,1.58,5.45,27.73,2.02,3021095736.0,2964235575.0,0.0,0.0,17.28,13.18
74,002546,新联电子,7.83,9.97,0.71,1000577.0,770283213.19,9.69,7.83,7.14,7.14,7.12,2.57,12.49,9.16,1.74,6530604422.0,6273647312.0,0.0,0.0,27.11,12.02
75,002446,盛路通信,14.67,9.97,1.33,2945134.0,3944762435.21,19.94,14.67,12.01,12.3,13.34,1.51,34.74,119.8,5.28,13429148671.0,12436892932.0,0.0,0.0,74.44,39.85
76,603056,德邦股份,16.98,9.97,1.54,15164.0,25748472.0,0.0,16.98,16.98,16.98,15.44,0.39,0.15,-46.67,2.14,17226131671.0,17226131671.0,0.0,0.0,11.05,24.21
77,002114,罗平锌电,10.15,9.97,0.92,455581.0,448755903.41,9.97,10.15,9.23,9.29,9.23,1.63,14.09,-25.57,3.88,3282461960.0,3282416853.0,0.0,0.0,32.33,20.55
78,688679,通源环境,44.2,9.68,3.9,101816.0,430538213.0,11.22,44.5,39.98,40.0,40.3,1.09,7.73,-259.94,5.18,5820683635.0,5820683635.0,-0.05,0.09,83.94,66.17
79,688652,京仪装备,125.99,9.39,10.81,62376.0,750794275.0,12.2,126.06,112.01,113.5,115.18,1.05,5.17,123.53,9.7,21166320000.0,15213292500.0,0.22,0.39,43.17,28.16
80,301308,江波龙,311.5,9.39,26.75,248242.0,7381838835.7,15.45,320.88,276.9,277.76,284.75,1.52,9.05,137.41,17.35,130563750671.0,85473777102.0,0.03,0.04,71.24,27.23
81,600316,洪都航空,41.64,9.29,3.54,552158.0,2284687423.0,9.74,41.91,38.2,38.2,38.1,1.61,7.7,1886.04,5.56,29860648280.0,29860648280.0,-0.07,0.07,22.11,19.28
82,688361,中科飞测,196.98,9.2,16.6,79308.0,1486228974.0,11.56,197.51,176.66,177.6,180.38,1.02,3.19,-3519.5,13.72,68975154424.0,48908372211.0,0.6,-0.15,65.81,28.75
83,688498,源杰科技,767.99,9.09,63.99,39293.0,2863545247.0,12.22,770.0,684.0,689.01,704.0,0.86,4.68,467.5,30.4,66006994091.0,64511160000.0,0.13,0.06,54.59,19.63
84,300564,筑博设计,17.89,9.09,1.49,135358.0,235401640.2,13.9,18.4,16.12,16.66,16.4,3.49,11.96,-142.83,2.39,2885928928.0,2025000408.0,0.0,0.17,7.32,13.59
85,301535,浙江华远,26.08,9.03,2.16,180973.0,462688024.75,12.29,26.94,24.0,24.07,23.92,2.05,28.37,105.36,9.99,11091670597.0,1663750597.0,0.0,-0.23,31.45,19.63
86,688411,海博思创,256.1,8.85,20.83,83969.0,2108730440.0,9.77,259.0,236.01,240.0,235.27,1.73,22.14,55.56,10.29,46121687201.0,9714783179.0,-0.03,-0.02,-12.14,2.42
87,301192,泰祥股份,32.09,8.6,2.54,55446.0,177673201.55,17.09,34.3,29.25,29.5,29.55,2.43,11.58,57.01,5.17,3205791000.0,1536108188.0,0.0,0.0,-8.05,8.08
88,688720,艾森股份,80.77,8.56,6.37,73505.0,567500625.0,11.92,80.97,72.1,73.0,74.4,1.1,13.04,154.86,7.05,7118529387.0,4554161688.0,0.01,-0.06,72.29,14.76
89,002121,科陆电子,9.24,8.45,0.72,1614428.0,1449831774.71,10.56,9.26,8.36,8.5,8.52,2.22,11.53,49.64,20.72,15345946197.0,12935283013.0,-0.11,0.0,8.71,20.0
90,301486,致尚科技,136.77,8.44,10.65,87064.0,1163876896.32,12.23,139.43,124.0,124.99,126.12,1.23,12.02,80.87,6.73,17599699686.0,9909500071.0,-0.13,-0.13,62.53,10.25
91,920627,力王股份,26.3,8.41,2.04,97428.0,261342591.24,19.21,28.56,23.9,24.01,24.26,3.17,20.82,126.64,5.5,2484035000.0,1230511250.0,0.0,-0.57,-2.34,23.53
92,301237,和顺科技,72.62,8.26,5.54,42876.0,308871949.9,11.58,74.88,67.11,68.35,67.08,1.0,6.51,-189.81,4.44,5809600000.0,4782934750.0,-0.15,-0.08,59.6,25.4
93,920634,新威凌,28.85,8.26,2.2,73626.0,213311926.05,16.62,30.99,26.56,26.56,26.65,3.06,18.2,91.28,6.5,1843767899.0,1167226658.0,-0.03,0.17,2.09,19.07
94,301083,百胜智能,21.91,8.2,1.66,113378.0,239720440.57,10.72,22.17,20.0,20.11,20.25,1.53,13.24,92.22,4.67,3897058674.0,1875713281.0,0.0,-0.14,21.79,15.86
