日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2026-01-13,603826,17.85,17.89,18.1,17.7,58016,104006896.0,2.24,0.22,0.04,0.89
2026-01-14,603826,17.87,17.65,17.99,17.48,57658,102480704.0,2.85,-1.34,-0.24,0.88
2026-01-15,603826,17.56,17.82,17.84,17.56,32632,57830696.0,1.59,0.96,0.17,0.5
2026-01-16,603826,17.85,17.5,17.88,17.41,35692,62681680.0,2.64,-1.8,-0.32,0.54
2026-01-19,603826,17.04,16.92,17.39,16.88,82546,140483808.0,2.91,-3.31,-0.58,1.26
2026-01-20,603826,16.92,16.99,17.1,16.91,30784,52268964.0,1.12,0.41,0.07,0.47
2026-01-21,603826,17.02,16.06,17.06,15.81,139042,227742048.0,7.36,-5.47,-0.93,2.12
2026-01-22,603826,16.05,17.1,17.14,15.83,116463,192247936.0,8.16,6.48,1.04,1.78
2026-01-23,603826,17.06,17.58,17.85,16.9,125620,219882528.0,5.56,2.81,0.48,1.92
2026-01-26,603826,17.59,17.2,17.7,17.08,65013,112259624.0,3.53,-2.16,-0.38,0.99
2026-01-27,603826,17.19,17.1,17.2,16.65,56347,95360664.0,3.2,-0.58,-0.1,0.86
2026-01-28,603826,17.06,17.08,17.17,16.83,44681,75937040.0,1.99,-0.12,-0.02,0.68
2026-01-29,603826,17.08,16.83,17.12,16.76,39559,66940448.0,2.11,-1.46,-0.25,0.6
2026-01-30,603826,16.75,16.38,16.85,16.26,49990,82382952.0,3.51,-2.67,-0.45,0.76
2026-02-02,603826,15.9,15.96,16.43,15.86,58313,94050560.0,3.48,-2.56,-0.42,0.89
2026-02-03,603826,15.96,16.08,16.22,15.91,29230,46981924.0,1.94,0.75,0.12,0.45
2026-02-04,603826,16.06,17.69,17.69,15.98,124901,214286240.0,10.63,10.01,1.61,1.91
2026-02-05,603826,18.19,19.46,19.46,18.01,156418,298653600.0,8.2,10.01,1.77,2.39
2026-02-06,603826,20.09,19.5,20.88,19.22,406917,818158976.0,8.53,0.21,0.04,6.21
2026-02-09,603826,19.5,19.78,20.25,19.5,220187,437347840.0,3.85,1.44,0.28,3.36
2026-02-10,603826,19.78,19.17,19.95,19.17,126955,246382688.0,3.94,-3.08,-0.61,1.94
2026-02-11,603826,19.21,19.6,20.1,19.16,109549,215051184.0,4.9,2.24,0.43,1.67
2026-02-12,603826,19.52,19.01,19.55,18.99,97275,186771600.0,2.86,-3.01,-0.59,1.48
2026-02-13,603826,19.0,18.4,19.28,18.38,76116,141734816.0,4.73,-3.21,-0.61,1.16
2026-02-24,603826,18.58,18.7,19.13,18.58,61435,115539656.0,2.99,1.63,0.3,0.94
2026-02-25,603826,18.84,20.57,20.57,18.76,134806,266877392.0,9.68,10.0,1.87,2.06
2026-02-26,603826,21.1,20.58,21.5,20.15,199768,411309440.0,6.56,0.05,0.01,3.05
2026-02-27,603826,20.58,20.67,20.8,20.21,110058,226037616.0,2.87,0.44,0.09,1.68
2026-03-02,603826,20.41,20.69,21.16,20.41,117260,242642000.0,3.63,0.1,0.02,1.79
2026-03-03,603826,21.0,19.89,21.0,19.84,114068,231611392.0,5.61,-3.87,-0.8,1.74
2026-03-04,603826,20.16,21.23,21.47,19.61,194111,403143648.0,9.35,6.74,1.34,2.96
2026-03-05,603826,21.66,22.02,23.23,21.12,252289,559705152.0,9.94,3.72,0.79,3.85
2026-03-06,603826,21.94,23.9,24.05,21.8,221176,513205536.0,10.22,8.54,1.88,3.38
