--- 战法复盘统计：过去60日成功率(3%目标): 53.94% | 平均潜在涨幅: 4.79% ---
代码,名称,收盘价,量比,信号强度,操作建议
600446,金证股份,13.67,0.63,70,【观察试错】趋势尚可，等待分时转强
002072,凯瑞德,7.28,0.6,70,【观察试错】趋势尚可，等待分时转强
001313,粤海饲料,9.17,0.49,70,【观察试错】趋势尚可，等待分时转强
000910,大亚圣象,6.77,0.62,70,【观察试错】趋势尚可，等待分时转强
002226,江南化工,5.91,0.65,50,【观察试错】趋势尚可，等待分时转强
000899,赣能股份,13.08,0.61,50,【观察试错】趋势尚可，等待分时转强
002067,景兴纸业,5.2,0.6,50,【观察试错】趋势尚可，等待分时转强
603687,大胜达,16.23,0.57,50,【观察试错】趋势尚可，等待分时转强
600021,上海电力,17.6,0.6,50,【观察试错】趋势尚可，等待分时转强
000685,中山公用,12.19,0.64,50,【观察试错】趋势尚可，等待分时转强
