代码,名称,现价,今日涨幅%,信号强度,历史胜率%,操作建议,放量基准日
603278,大业股份,11.2,-3.78,75,66.0%,【试错观察】历史胜率66%。量能萎缩达标，回踩支撑有效，可分批进场。,2026-04-21
002860,星帅尔,12.81,0.08,75,100.0%,【试错观察】历史胜率100%。量能萎缩达标，回踩支撑有效，可分批进场。,2026-04-17
002216,三全食品,14.38,-1.37,75,100.0%,【试错观察】历史胜率100%。量能萎缩达标，回踩支撑有效，可分批进场。,2026-04-27
000852,石化机械,7.27,0.83,75,100.0%,【试错观察】历史胜率100%。量能萎缩达标，回踩支撑有效，可分批进场。,2026-04-21
002164,宁波东力,12.56,0.72,75,62.9%,【试错观察】历史胜率63%。量能萎缩达标，回踩支撑有效，可分批进场。,2026-04-24
