代码,名称,现价,今日涨幅%,信号强度,历史胜率%,操作建议,放量基准日
000953,河化股份,6.93,0.29,75,64.7%,【试错观察】历史胜率65%。量能萎缩达标，回踩支撑有效，可分批进场。,2026-04-24
600638,新黄浦,6.32,1.44,75,63.6%,【试错观察】历史胜率64%。量能萎缩达标，回踩支撑有效，可分批进场。,2026-04-22
600479,千金药业,10.77,0.19,75,100.0%,【试错观察】历史胜率100%。量能萎缩达标，回踩支撑有效，可分批进场。,2026-04-29
603788,宁波高发,17.13,-0.7,75,100.0%,【试错观察】历史胜率100%。量能萎缩达标，回踩支撑有效，可分批进场。,2026-04-22
603518,锦泓集团,9.49,-0.42,75,61.0%,【试错观察】历史胜率61%。量能萎缩达标，回踩支撑有效，可分批进场。,2026-04-28
