代码,名称,现价,今日涨幅%,信号强度,历史胜率%,操作建议,放量基准日
002212,天融信,5.62,-2.77,75,70.0%,【试错观察】历史胜率70%。量能萎缩达标，回踩支撑有效，可分批进场。,2026-06-30
001239,永达股份,12.2,-4.39,75,100.0%,【试错观察】历史胜率100%。量能萎缩达标，回踩支撑有效，可分批进场。,2026-07-09
002457,青龙管业,14.18,-10.03,75,100.0%,【试错观察】历史胜率100%。量能萎缩达标，回踩支撑有效，可分批进场。,2026-07-07
002998,优彩资源,6.92,-2.95,75,68.8%,【试错观察】历史胜率69%。量能萎缩达标，回踩支撑有效，可分批进场。,2026-07-01
603033,三维股份,8.18,-1.45,75,60.7%,【试错观察】历史胜率61%。量能萎缩达标，回踩支撑有效，可分批进场。,2026-07-02
