代码,名称,现价,今日涨幅%,信号强度,历史胜率%,操作建议,放量基准日
002908,德生科技,6.48,1.09,85,0.0%,【一击必中】历史胜率0%。缩量回踩MA5完美，主力高度锁仓，建议重仓介入。,2026-07-01
603366,日出东方,6.6,1.69,75,60.5%,【试错观察】历史胜率60%。量能萎缩达标，回踩支撑有效，可分批进场。,2026-06-29
002120,韵达股份,6.72,0.9,75,66.7%,【试错观察】历史胜率67%。量能萎缩达标，回踩支撑有效，可分批进场。,2026-07-01
000973,佛塑科技,12.15,-2.8,75,63.8%,【试错观察】历史胜率64%。量能萎缩达标，回踩支撑有效，可分批进场。,2026-07-07
002772,众兴菌业,12.72,0.95,75,64.1%,【试错观察】历史胜率64%。量能萎缩达标，回踩支撑有效，可分批进场。,2026-07-03
