--- 战法复盘统计：过去60日成功率(3%目标): 54.29% | 平均潜在涨幅: 5.71% ---
代码,名称,收盘价,量比,信号强度,操作建议
600470,六国化工,6.08,0.6,70,【观察试错】趋势尚可，等待分时转强
603033,三维股份,9.95,0.59,70,【观察试错】趋势尚可，等待分时转强
603212,赛伍技术,12.43,0.58,70,【观察试错】趋势尚可，等待分时转强
002366,融发核电,5.8,0.54,70,【观察试错】趋势尚可，等待分时转强
002255,海陆重工,9.45,0.64,70,【观察试错】趋势尚可，等待分时转强
002053,云南能投,9.57,0.57,70,【观察试错】趋势尚可，等待分时转强
601611,中国核建,10.83,0.53,70,【观察试错】趋势尚可，等待分时转强
600630,龙头股份,9.62,0.53,70,【观察试错】趋势尚可，等待分时转强
002455,百川股份,7.56,0.64,70,【观察试错】趋势尚可，等待分时转强
002277,友阿股份,6.35,0.61,50,【观察试错】趋势尚可，等待分时转强
600539,狮头股份,16.83,0.52,50,【观察试错】趋势尚可，等待分时转强
002052,同洲电子,8.34,0.55,50,【观察试错】趋势尚可，等待分时转强
002930,宏川智慧,9.82,0.59,50,【观察试错】趋势尚可，等待分时转强
002161,远 望 谷,5.62,0.65,50,【观察试错】趋势尚可，等待分时转强
000876,新 希 望,6.78,0.61,50,【观察试错】趋势尚可，等待分时转强
600737,中粮糖业,11.8,0.55,50,【观察试错】趋势尚可，等待分时转强
