年份,交易次数,胜率%,均益%,盈亏比
1994,2,0.0,-11.5,
1996,1,0.0,-7.64,
1998,14,28.57,8.36,7.51
1999,19,26.32,0.48,3.1
2000,40,27.5,-1.54,1.69
2001,56,29.31,-2.79,0.74
2002,46,15.22,-3.3,1.11
2003,36,33.33,-0.94,1.47
2004,17,41.18,-2.33,0.81
2005,4,0.0,-6.16,
2006,3,66.67,48.25,11.7
2007,20,45.0,14.36,3.92
2008,7,14.29,-13.62,0.07
2009,21,33.33,2.38,2.77
2010,51,39.22,-1.89,0.93
2011,42,14.29,-6.05,0.71
2012,49,44.0,-2.5,0.5
2013,38,23.08,-2.29,1.86
2014,67,34.33,3.12,3.45
2015,43,36.36,3.17,2.4
2016,61,22.95,-2.57,1.61
2017,146,13.7,-4.86,1.11
2018,52,15.38,-4.64,2.13
2019,56,15.79,-4.07,2.14
2020,71,25.33,-0.76,2.35
2021,95,28.42,0.1,2.57
2022,112,9.57,-5.78,1.33
2023,162,15.43,-4.59,1.07
2024,70,27.14,-0.1,2.64
2025,141,49.65,4.08,2.49
2026,14,0.0,-7.47,
所有年份总计,1569,25.49,-1.61,2.01
