年份,交易次数,胜率%,均益%,盈亏比
1991,1,100.0,92.71,0.0
1992,1,100.0,131.1,0.0
1993,4,50.0,-1.54,0.55
1994,21,14.29,-7.7,0.9
1995,19,15.79,-5.94,0.66
1996,31,45.16,4.46,2.28
1997,15,20.0,-3.58,2.05
1998,139,43.17,1.04,1.69
1999,92,20.65,0.89,4.51
2000,121,33.59,0.08,1.85
2001,243,36.73,-2.68,0.74
2002,360,14.09,-4.69,0.57
2003,337,36.39,-1.65,1.01
2004,200,39.5,-1.39,1.03
2005,184,15.51,-4.04,2.85
2006,83,59.52,46.07,8.77
2007,78,61.54,34.48,5.39
2008,56,26.32,11.45,6.99
2009,90,28.89,-2.63,1.24
2010,150,29.33,-2.34,1.32
2011,147,13.61,-4.87,1.56
2012,244,58.7,-0.32,0.62
2013,227,25.88,-1.83,1.89
2014,246,52.44,13.53,4.7
2015,95,37.89,1.32,1.97
2016,162,27.11,-1.67,1.59
2017,387,16.45,-3.45,1.67
2018,128,14.84,-4.78,1.68
2019,136,21.38,-2.57,1.81
2020,215,24.0,-1.17,2.28
2021,266,26.69,-0.47,2.47
2022,287,16.67,-3.02,2.33
2023,372,16.09,-4.46,0.91
2024,184,26.88,-1.39,1.9
2025,392,37.76,1.85,2.56
2026,5,0.0,-5.18,
所有年份总计,5774,29.17,0.02,2.41
