代码,名称,现价,今日涨幅%,信号强度,历史胜率%,操作建议,放量基准日
600590,泰豪科技,12.75,-9.96,75,64.0%,【试错观察】历史胜率64%。量能萎缩达标，回踩支撑有效，可分批进场。,2026-05-26
600775,南京熊猫,10.78,-4.6,75,100.0%,【试错观察】历史胜率100%。量能萎缩达标，回踩支撑有效，可分批进场。,2026-05-19
002755,奥赛康,14.56,-1.62,75,100.0%,【试错观察】历史胜率100%。量能萎缩达标，回踩支撑有效，可分批进场。,2026-05-21
002196,方正电机,13.53,-6.43,75,70.0%,【试错观察】历史胜率70%。量能萎缩达标，回踩支撑有效，可分批进场。,2026-05-18
002667,威领股份,18.62,-5.0,75,61.9%,【试错观察】历史胜率62%。量能萎缩达标，回踩支撑有效，可分批进场。,2026-05-22
