代码,名称,现价,今日涨幅%,信号强度,历史胜率%,操作建议,放量基准日
001239,永达股份,14.94,-1.19,85,0.0%,【一击必中】历史胜率0%。缩量回踩MA5完美，主力高度锁仓，建议重仓介入。,2026-06-11
002809,红墙股份,8.3,2.72,75,100.0%,【试错观察】历史胜率100%。量能萎缩达标，回踩支撑有效，可分批进场。,2026-06-10
600629,华建集团,16.31,1.43,75,66.0%,【试错观察】历史胜率66%。量能萎缩达标，回踩支撑有效，可分批进场。,2026-06-16
603070,万控智造,14.71,-9.98,75,75.0%,【试错观察】历史胜率75%。量能萎缩达标，回踩支撑有效，可分批进场。,2026-06-10
002212,天融信,6.19,0.65,75,70.7%,【试错观察】历史胜率71%。量能萎缩达标，回踩支撑有效，可分批进场。,2026-06-12
