代码,名称,现价,今日涨幅%,信号强度,历史胜率%,操作建议,放量基准日
601777,千里科技,11.12,-4.55,75,62.3%,【试错观察】历史胜率62%。量能萎缩达标，回踩支撑有效，可分批进场。,2026-02-13
002438,江苏神通,18.38,-2.34,75,60.8%,【试错观察】历史胜率61%。量能萎缩达标，回踩支撑有效，可分批进场。,2026-02-10
000953,河化股份,7.55,0.67,75,65.1%,【试错观察】历史胜率65%。量能萎缩达标，回踩支撑有效，可分批进场。,2026-02-24
000892,欢瑞世纪,6.78,-5.04,75,63.7%,【试错观察】历史胜率64%。量能萎缩达标，回踩支撑有效，可分批进场。,2026-02-11
002951,金时科技,15.16,-2.76,75,81.1%,【试错观察】历史胜率81%。量能萎缩达标，回踩支撑有效，可分批进场。,2026-02-13
