--- 战法复盘统计：过去60日成功率(3%目标): 55.16% | 平均潜在涨幅: 4.95% ---
代码,名称,收盘价,量比,信号强度,操作建议
600336,澳柯玛,7.94,0.38,80,【一击必中】符合极致缩量回踩，博弈反包
002637,赞宇科技,14.44,0.09,80,【一击必中】符合极致缩量回踩，博弈反包
600746,江苏索普,8.75,0.54,70,【观察试错】趋势尚可，等待分时转强
002632,道明光学,13.62,0.5,70,【观察试错】趋势尚可，等待分时转强
600847,万里股份,14.1,0.63,70,【观察试错】趋势尚可，等待分时转强
002543,万和电气,9.31,0.47,70,【观察试错】趋势尚可，等待分时转强
002438,江苏神通,17.71,0.64,50,【观察试错】趋势尚可，等待分时转强
603029,天鹅股份,19.8,0.63,50,【观察试错】趋势尚可，等待分时转强
600232,金鹰股份,8.02,0.48,50,【观察试错】趋势尚可，等待分时转强
002669,康达新材,13.99,0.56,50,【观察试错】趋势尚可，等待分时转强
000626,远大控股,8.38,0.64,50,【观察试错】趋势尚可，等待分时转强
000553,安道麦A,6.44,0.64,50,【观察试错】趋势尚可，等待分时转强
