代码,名称,现价,今日涨幅%,信号强度,历史胜率%,操作建议,放量基准日
002745,木林森,7.95,-7.34,100,100.0%,【一击必中】历史胜率100%。缩量回踩MA5完美，主力高度锁仓，建议重仓介入。,2026-03-20
002917,金奥博,11.98,-7.2,85,0.0%,【一击必中】历史胜率0%。缩量回踩MA5完美，主力高度锁仓，建议重仓介入。,2026-03-20
603639,海利尔,12.3,-7.1,85,0.0%,【一击必中】历史胜率0%。缩量回踩MA5完美，主力高度锁仓，建议重仓介入。,2026-03-20
002322,理工能科,13.88,-2.25,75,70.1%,【试错观察】历史胜率70%。量能萎缩达标，回踩支撑有效，可分批进场。,2026-03-12
603679,华体科技,14.0,-6.35,75,61.3%,【试错观察】历史胜率61%。量能萎缩达标，回踩支撑有效，可分批进场。,2026-03-12
