代码,名称,收盘价,量能倍数,5周偏离%,洗盘痕迹,状态
000695,滨海能源,16.12,2.04,4.88,有,形态已成
603915,国茂股份,17.9,1.88,4.52,无,形态已成
002576,通达动力,19.65,1.71,3.77,无,形态已成
002465,海格通信,16.41,1.67,1.87,无,形态已成
603903,中持股份,12.76,1.62,0.16,无,形态已成
601598,中国外运,6.25,1.54,2.59,有,形态已成
600333,长春燃气,5.88,1.52,2.08,无,形态已成
605555,德昌股份,16.55,1.44,2.02,无,形态已成
603602,纵横通信,13.89,1.43,3.09,无,形态已成
601177,杭齿前进,16.98,1.42,4.61,无,形态已成
600769,祥龙电业,17.6,1.42,-2.22,无,形态已成
000559,万向钱潮,17.91,1.4,3.07,无,形态已成
603278,大业股份,14.18,1.4,1.72,无,形态已成
603399,永杉锂业,17.95,1.33,-6.78,无,形态已成
002678,珠江钢琴,6.18,1.32,2.22,有,形态已成
002795,永和智控,9.34,1.31,-0.74,无,形态已成
002181,粤 传 媒,13.75,1.31,-15.46,无,形态已成
600158,中体产业,11.67,1.3,-5.98,有,形态已成
605077,华康股份,17.93,1.28,1.06,无,形态已成
603219,富佳股份,18.2,1.27,4.25,无,形态已成
605189,富春染织,17.01,1.26,-4.36,有,形态已成
002559,亚威股份,11.0,1.24,1.64,有,形态已成
600151,航天机电,15.19,1.24,2.75,有,形态已成
002194,武汉凡谷,12.41,1.24,3.21,无,形态已成
002283,天润工业,12.07,1.22,3.87,无,形态已成
603990,麦迪科技,16.88,1.22,4.69,无,形态已成
001313,粤海饲料,9.17,1.22,2.25,无,形态已成
600933,爱柯迪,17.61,1.22,1.41,无,形态已成
603928,兴业股份,16.55,1.21,1.9,有,形态已成
600510,黑牡丹,8.98,1.2,-14.33,有,形态已成
603711,香飘飘,14.81,1.17,4.71,无,形态已成
603703,盛洋科技,14.26,1.14,2.58,无,形态已成
603165,荣晟环保,17.8,1.14,0.23,有,形态已成
600538,国发股份,6.96,1.13,2.08,无,形态已成
605366,宏柏新材,12.99,1.13,0.23,有,形态已成
601339,百隆东方,7.89,1.12,-7.78,无,形态已成
600012,皖通高速,15.72,1.12,-0.73,有,形态已成
000823,超声电子,16.39,1.12,1.42,有,形态已成
002406,远东传动,8.14,1.1,-1.31,无,形态已成
000678,襄阳轴承,12.38,1.09,-1.28,有,形态已成
000582,北部湾港,12.38,1.09,2.31,无,形态已成
603006,联明股份,14.25,1.08,2.4,无,形态已成
000810,创维数字,12.48,1.06,-1.05,有,形态已成
600379,宝光股份,13.54,1.05,-13.9,无,形态已成
603033,三维股份,11.04,1.03,-2.28,有,形态已成
600366,宁波韵升,13.11,1.02,-0.79,无,形态已成
002579,中京电子,13.46,1.02,4.63,有,形态已成
603429,集友股份,9.64,1.01,-2.7,有,形态已成
000070,特发信息,18.48,1.01,-4.41,有,形态已成
603158,腾龙股份,14.53,1.01,1.54,有,形态已成
605336,帅丰电器,16.39,1.0,-4.08,有,潜伏中
000950,重药控股,6.18,0.99,1.41,有,潜伏中
600189,泉阳泉,8.41,0.98,0.14,无,潜伏中
000586,汇源通信,17.62,0.97,-4.04,有,潜伏中
002205,国统股份,13.95,0.96,2.21,无,潜伏中
603997,继峰股份,13.51,0.96,3.68,有,潜伏中
600719,大连热电,8.87,0.96,4.9,无,潜伏中
002494,华斯股份,5.9,0.95,-1.99,无,潜伏中
605228,神通科技,14.05,0.95,-3.73,有,潜伏中
002998,优彩资源,9.12,0.95,-4.26,有,潜伏中
000301,东方盛虹,12.39,0.95,-3.17,无,潜伏中
603178,圣龙股份,19.99,0.94,0.89,无,潜伏中
600724,宁波富达,7.38,0.93,-2.43,有,潜伏中
002350,北京科锐,16.02,0.92,3.96,无,潜伏中
603966,法兰泰克,13.04,0.91,-4.48,有,潜伏中
603819,神力股份,14.7,0.9,-1.62,无,潜伏中
002695,煌上煌,12.06,0.89,-2.28,无,潜伏中
600773,西藏城投,20.0,0.89,-15.47,无,潜伏中
600236,桂冠电力,10.65,0.89,2.96,无,潜伏中
002774,快意电梯,12.78,0.88,3.57,无,潜伏中
603687,大胜达,16.23,0.86,-1.79,有,潜伏中
600135,乐凯胶片,10.9,0.86,-2.71,无,潜伏中
002023,海特高新,12.67,0.86,-1.81,有,潜伏中
002972,科安达,12.75,0.85,-2.37,无,潜伏中
002062,宏润建设,9.5,0.85,1.24,无,潜伏中
600768,宁波富邦,18.08,0.84,-1.33,有,潜伏中
603587,地素时尚,12.89,0.83,-1.53,无,潜伏中
001300,三柏硕,17.05,0.83,-4.79,无,潜伏中
603327,福蓉科技,10.85,0.83,1.46,有,潜伏中
601061,中信金属,13.62,0.83,-2.6,无,潜伏中
603518,锦泓集团,9.2,0.8,-3.42,无,潜伏中
603637,镇海股份,18.22,0.8,4.39,有,潜伏中
