代码,名称,收盘价,量能倍数,5周偏离%,洗盘痕迹,状态
600611,大众交通,5.17,2.93,3.61,无,形态已成
605180,华生科技,14.66,2.37,-5.93,无,形态已成
002823,凯中精密,17.43,1.88,2.36,无,形态已成
002184,海得控制,12.5,1.74,2.91,无,形态已成
002806,华锋股份,15.28,1.65,0.9,有,形态已成
002766,索菱股份,5.21,1.64,4.53,无,形态已成
603956,威派格,6.08,1.62,2.49,有,形态已成
002516,旷达科技,6.38,1.59,2.97,无,形态已成
002067,景兴纸业,5.22,1.48,3.57,无,形态已成
600985,淮北矿业,14.48,1.45,4.78,无,形态已成
603995,甬金股份,19.64,1.44,1.58,有,形态已成
600784,鲁银投资,8.06,1.43,4.51,无,形态已成
002576,通达动力,19.15,1.39,0.23,无,形态已成
000519,中兵红箭,18.16,1.35,1.44,无,形态已成
002855,捷荣技术,12.24,1.3,-1.61,无,形态已成
002137,实益达,8.89,1.26,3.69,无,形态已成
600143,金发科技,18.46,1.25,3.84,无,形态已成
603206,嘉环科技,18.54,1.23,4.16,有,形态已成
600596,新安股份,12.57,1.23,1.06,无,形态已成
605300,佳禾食品,10.9,1.22,0.93,无,形态已成
605018,长华集团,13.95,1.19,3.72,有,形态已成
600508,上海能源,13.16,1.17,-1.73,无,形态已成
000823,超声电子,16.26,1.16,-0.11,有,形态已成
000819,岳阳兴长,15.84,1.15,-1.68,无,形态已成
000712,锦龙股份,11.02,1.13,4.38,无,形态已成
002917,金奥博,14.29,1.12,3.61,有,形态已成
603677,奇精机械,17.25,1.1,2.68,无,形态已成
600350,山东高速,11.83,1.1,4.06,无,形态已成
002918,蒙娜丽莎,13.6,1.1,-1.83,无,形态已成
002860,星帅尔,13.7,1.08,1.5,有,形态已成
000630,铜陵有色,6.46,1.07,1.38,无,形态已成
603158,腾龙股份,15.25,1.06,4.42,有,形态已成
603356,华菱精工,18.43,1.04,-4.72,无,形态已成
000701,厦门信达,5.75,1.01,-3.0,无,形态已成
600769,祥龙电业,16.47,1.0,-9.7,无,潜伏中
002571,德力股份,12.23,0.99,4.0,无,潜伏中
002196,方正电机,14.65,0.97,-3.35,无,潜伏中
603806,福斯特,18.35,0.97,1.08,无,潜伏中
002584,西陇科学,7.96,0.96,-1.97,无,潜伏中
002635,安洁科技,18.02,0.96,3.52,有,潜伏中
600012,皖通高速,16.43,0.96,3.42,有,潜伏中
000695,滨海能源,15.86,0.96,1.61,有,潜伏中
605167,利柏特,17.47,0.95,-3.25,有,潜伏中
603221,爱丽家居,12.93,0.95,3.36,无,潜伏中
605399,晨光新材,15.23,0.95,0.87,无,潜伏中
002457,青龙管业,11.15,0.94,-6.76,无,潜伏中
000612,焦作万方,12.1,0.94,-3.97,有,潜伏中
002208,合肥城建,18.4,0.94,3.72,无,潜伏中
002167,东方锆业,13.11,0.91,1.53,无,潜伏中
601519,大智慧,10.44,0.91,-1.38,无,潜伏中
600577,精达股份,14.2,0.9,1.62,无,潜伏中
002171,楚江新材,11.68,0.9,0.12,无,潜伏中
002678,珠江钢琴,5.7,0.9,-5.44,有,潜伏中
002951,金时科技,15.9,0.89,-0.98,无,潜伏中
603505,金石资源,19.66,0.88,-1.83,无,潜伏中
605069,正和生态,12.69,0.87,-15.85,无,潜伏中
600110,诺德股份,10.46,0.86,-0.13,有,潜伏中
601699,潞安环能,15.2,0.85,0.03,无,潜伏中
601901,方正证券,7.0,0.85,-1.3,无,潜伏中
603567,珍宝岛,7.45,0.85,1.42,有,潜伏中
605218,伟时电子,17.67,0.85,-2.85,无,潜伏中
600336,澳柯玛,8.03,0.84,-0.82,无,潜伏中
600539,狮头股份,16.26,0.84,-4.92,无,潜伏中
603458,勘设股份,12.73,0.84,-2.09,有,潜伏中
002643,万润股份,16.57,0.84,-3.03,无,潜伏中
601988,中国银行,5.85,0.84,1.11,无,潜伏中
601155,新城控股,12.74,0.82,-9.85,无,潜伏中
603006,联明股份,13.03,0.82,-5.54,无,潜伏中
603466,风语筑,10.75,0.82,3.82,无,潜伏中
002125,湘潭电化,14.15,0.82,-4.11,无,潜伏中
001896,豫能控股,15.74,0.81,0.46,有,潜伏中
603880,南卫股份,8.14,0.81,0.07,无,潜伏中
002051,中工国际,11.09,0.81,2.12,有,潜伏中
001330,博纳影业,9.31,0.81,3.31,无,潜伏中
003013,地铁设计,14.46,0.81,2.5,无,潜伏中
600601,方正科技,13.04,0.81,4.96,无,潜伏中
002181,粤 传 媒,15.0,0.8,-9.94,无,潜伏中
