代码,名称,最新收盘,量能强度,5周线偏离%,洗盘状态,3w实战建议
002465,海格通信,16.41,1.67,1.87,有缩量回踩(优质),分配1.5w(狙击)
601598,中国外运,6.25,1.54,2.59,持续放量(观察),分配1w(轻仓试探)
