代码,名称,收盘价,量能倍数,5周偏离%,洗盘痕迹,状态
002283,天润工业,11.35,1.17,2.9,无,形态已成
600748,上实发展,5.48,1.0,2.47,无,潜伏中
600901,江苏金租,6.74,0.97,-1.4,无,潜伏中
603967,中创物流,14.41,0.95,4.01,有,潜伏中
600538,国发股份,6.9,0.93,2.68,无,潜伏中
600099,林海股份,11.84,0.92,2.17,有,潜伏中
603990,麦迪科技,15.94,0.92,2.76,无,潜伏中
601001,晋控煤业,17.81,0.92,0.56,有,潜伏中
605189,富春染织,18.15,0.92,3.37,有,潜伏中
002629,仁智股份,6.92,0.91,4.66,有,潜伏中
605377,华旺科技,10.09,0.9,2.77,有,潜伏中
002611,东方精工,18.79,0.89,4.03,无,潜伏中
603006,联明股份,14.17,0.86,4.81,无,潜伏中
601339,百隆东方,8.61,0.84,2.67,无,潜伏中
000703,恒逸石化,15.62,0.84,-1.45,无,潜伏中
002559,亚威股份,10.88,0.83,2.99,有,潜伏中
002960,青鸟消防,12.43,0.83,2.52,有,潜伏中
000006,深振业Ａ,9.45,0.8,-0.06,有,潜伏中
