--- 战法复盘统计：过去60日成功率(3%目标): 52.86% | 平均潜在涨幅: 4.85% ---
代码,名称,收盘价,量比,信号强度,操作建议
002705,新宝股份,15.02,0.59,70,【观察试错】趋势尚可，等待分时转强
002565,顺灏股份,16.2,0.62,70,【观察试错】趋势尚可，等待分时转强
000913,钱江摩托,15.31,0.47,70,【观察试错】趋势尚可，等待分时转强
001239,永达股份,15.13,0.53,70,【观察试错】趋势尚可，等待分时转强
603660,苏州科达,9.24,0.56,70,【观察试错】趋势尚可，等待分时转强
000863,三湘印象,5.34,0.49,70,【观察试错】趋势尚可，等待分时转强
002686,亿利达,7.89,,50,【观察试错】趋势尚可，等待分时转强
000968,蓝焰控股,10.91,0.56,50,【观察试错】趋势尚可，等待分时转强
600528,中铁工业,8.66,0.58,50,【观察试错】趋势尚可，等待分时转强
000030,富奥股份,5.12,0.57,50,【观察试错】趋势尚可，等待分时转强
600894,广日股份,9.7,0.59,50,【观察试错】趋势尚可，等待分时转强
002342,巨力索具,13.8,0.64,50,【观察试错】趋势尚可，等待分时转强
