--- 战法复盘统计：过去60日成功率(3%目标): 52.82% | 平均潜在涨幅: 4.66% ---
代码,名称,收盘价,量比,信号强度,操作建议
600356,恒丰纸业,9.07,0.45,80,【一击必中】符合极致缩量回踩，博弈反包
603327,福蓉科技,9.85,0.63,70,【观察试错】趋势尚可，等待分时转强
600955,维远股份,17.92,0.58,70,【观察试错】趋势尚可，等待分时转强
600810,神马股份,8.78,0.56,70,【观察试错】趋势尚可，等待分时转强
603033,三维股份,11.32,0.62,50,【观察试错】趋势尚可，等待分时转强
002037,保利联合,8.6,0.54,50,【观察试错】趋势尚可，等待分时转强
605018,长华集团,11.94,0.65,50,【观察试错】趋势尚可，等待分时转强
000892,欢瑞世纪,6.39,0.57,50,【观察试错】趋势尚可，等待分时转强
603968,醋化股份,13.0,0.61,50,【观察试错】趋势尚可，等待分时转强
002188,中天服务,6.26,0.56,50,【观察试错】趋势尚可，等待分时转强
