代码,名称,现价,今日涨幅%,信号强度,历史胜率%,操作建议,放量基准日
000995,皇台酒业,12.61,-6.8,75,66.1%,【试错观察】历史胜率66%。量能萎缩达标，回踩支撑有效，可分批进场。,2026-03-31
600219,南山铝业,5.94,-3.88,75,67.4%,【试错观察】历史胜率67%。量能萎缩达标，回踩支撑有效，可分批进场。,2026-03-30
600780,通宝能源,6.32,-3.51,75,100.0%,【试错观察】历史胜率100%。量能萎缩达标，回踩支撑有效，可分批进场。,2026-03-26
002932,明德生物,16.6,-1.66,75,100.0%,【试错观察】历史胜率100%。量能萎缩达标，回踩支撑有效，可分批进场。,2026-03-24
002972,科安达,12.6,-1.33,75,69.7%,【试错观察】历史胜率70%。量能萎缩达标，回踩支撑有效，可分批进场。,2026-03-30
