代码,名称,现价,今日涨幅%,信号强度,历史胜率%,操作建议,放量基准日
000995,皇台酒业,13.53,-3.29,75,66.1%,【试错观察】历史胜率66%。量能萎缩达标，回踩支撑有效，可分批进场。,2026-03-31
600219,南山铝业,6.18,0.16,75,67.4%,【试错观察】历史胜率67%。量能萎缩达标，回踩支撑有效，可分批进场。,2026-03-30
600780,通宝能源,6.55,-2.82,75,100.0%,【试错观察】历史胜率100%。量能萎缩达标，回踩支撑有效，可分批进场。,2026-03-26
002972,科安达,12.77,-0.93,75,68.8%,【试错观察】历史胜率69%。量能萎缩达标，回踩支撑有效，可分批进场。,2026-03-30
002333,罗普斯金,5.46,-2.5,75,64.1%,【试错观察】历史胜率64%。量能萎缩达标，回踩支撑有效，可分批进场。,2026-03-27
