代码,名称,现价,今日涨幅%,信号强度,历史胜率%,操作建议,放量基准日
603278,大业股份,12.45,-5.68,75,65.2%,【试错观察】历史胜率65%。量能萎缩达标，回踩支撑有效，可分批进场。,2026-04-21
002860,星帅尔,12.74,-1.24,75,100.0%,【试错观察】历史胜率100%。量能萎缩达标，回踩支撑有效，可分批进场。,2026-04-17
603578,三星新材,13.36,1.75,75,100.0%,【试错观察】历史胜率100%。量能萎缩达标，回踩支撑有效，可分批进场。,2026-04-20
000852,石化机械,7.14,-1.92,75,100.0%,【试错观察】历史胜率100%。量能萎缩达标，回踩支撑有效，可分批进场。,2026-04-21
600639,浦东金桥,11.12,-2.28,75,100.0%,【试错观察】历史胜率100%。量能萎缩达标，回踩支撑有效，可分批进场。,2026-04-14
