代码,名称,现价,今日涨幅%,信号强度,历史胜率%,操作建议,放量基准日
600528,中铁工业,8.03,0.0,75,100.0%,【试错观察】历史胜率100%。量能萎缩达标，回踩支撑有效，可分批进场。,2026-03-31
601952,苏垦农发,10.07,-1.56,75,100.0%,【试错观察】历史胜率100%。量能萎缩达标，回踩支撑有效，可分批进场。,2026-03-30
000729,燕京啤酒,14.26,1.78,75,71.6%,【试错观察】历史胜率72%。量能萎缩达标，回踩支撑有效，可分批进场。,2026-04-03
600829,人民同泰,10.51,0.77,75,100.0%,【试错观察】历史胜率100%。量能萎缩达标，回踩支撑有效，可分批进场。,2026-04-02
002905,金逸影视,9.51,0.32,75,100.0%,【试错观察】历史胜率100%。量能萎缩达标，回踩支撑有效，可分批进场。,2026-04-01
