日期,代码,name,收盘,涨幅%,量比,换手%,信号强度,5日内最高收益%,操作建议
2026-03-23,002840,华统股份,10.72,6.99,3.14,9.26,极强 (⭐⭐⭐⭐⭐),7.46,极强抢筹；若3日无收益或破触发日最低价则离场
2026-03-19,603817,海峡环保,9.07,4.25,3.05,14.57,极强 (⭐⭐⭐⭐⭐),1.54,极强抢筹；若3日无收益或破触发日最低价则离场
2026-03-18,605299,舒华体育,14.06,5.71,3.36,9.8,极强 (⭐⭐⭐⭐⭐),26.17,极强抢筹；若3日无收益或破触发日最低价则离场
2026-03-18,002950,奥美医疗,11.92,4.29,3.19,6.55,极强 (⭐⭐⭐⭐⭐),6.38,极强抢筹；若3日无收益或破触发日最低价则离场
2026-03-18,603817,海峡环保,8.7,4.32,3.14,12.91,极强 (⭐⭐⭐⭐⭐),5.86,极强抢筹；若3日无收益或破触发日最低价则离场
2026-03-16,603817,海峡环保,8.18,6.23,3.99,11.75,极强 (⭐⭐⭐⭐⭐),11.61,极强抢筹；若3日无收益或破触发日最低价则离场
2026-03-12,600328,中盐化工,10.41,4.73,3.85,11.48,极强 (⭐⭐⭐⭐⭐),2.21,极强抢筹；若3日无收益或破触发日最低价则离场
2026-03-12,600628,新世界,9.13,4.1,3.37,10.2,极强 (⭐⭐⭐⭐⭐),2.3,极强抢筹；若3日无收益或破触发日最低价则离场
2026-03-11,600930,华电新能,6.37,3.41,4.13,12.04,极强 (⭐⭐⭐⭐⭐),10.68,极强抢筹；若3日无收益或破触发日最低价则离场
2026-03-05,600318,新力金融,9.94,4.41,3.67,13.59,极强 (⭐⭐⭐⭐⭐),2.92,极强抢筹；若3日无收益或破触发日最低价则离场
2026-03-03,603836,海程邦达,15.45,5.53,3.48,6.0,极强 (⭐⭐⭐⭐⭐),-1.62,极强抢筹；若3日无收益或破触发日最低价则离场
2026-03-03,603169,兰石重装,11.47,3.15,3.32,8.78,极强 (⭐⭐⭐⭐⭐),0.52,极强抢筹；若3日无收益或破触发日最低价则离场
2026-01-16,603089,正裕工业,13.85,5.4,3.36,6.97,极强 (⭐⭐⭐⭐⭐),7.22,极强抢筹；若3日无收益或破触发日最低价则离场
2026-01-15,002131,利欧股份,10.4,4.73,3.37,43.94,极强 (⭐⭐⭐⭐⭐),-10.0,极强抢筹；若3日无收益或破触发日最低价则离场
2026-01-12,002212,天融信,10.17,6.72,3.13,9.88,极强 (⭐⭐⭐⭐⭐),5.9,极强抢筹；若3日无收益或破触发日最低价则离场
2026-01-12,600590,泰豪科技,10.88,4.72,3.06,11.83,极强 (⭐⭐⭐⭐⭐),-0.09,极强抢筹；若3日无收益或破触发日最低价则离场
2025-12-24,002245,蔚蓝锂芯,17.65,6.45,3.78,10.05,极强 (⭐⭐⭐⭐⭐),6.29,极强抢筹；若3日无收益或破触发日最低价则离场
2025-12-12,600353,旭光电子,17.23,3.17,3.32,8.68,极强 (⭐⭐⭐⭐⭐),2.44,极强抢筹；若3日无收益或破触发日最低价则离场
2025-12-12,603269,海鸥股份,13.55,4.15,3.18,11.05,极强 (⭐⭐⭐⭐⭐),2.51,极强抢筹；若3日无收益或破触发日最低价则离场
2025-12-12,600522,中天科技,17.69,3.75,3.1,6.68,极强 (⭐⭐⭐⭐⭐),5.94,极强抢筹；若3日无收益或破触发日最低价则离场
2025-12-08,603166,福达股份,15.95,7.34,3.02,5.75,极强 (⭐⭐⭐⭐⭐),0.19,极强抢筹；若3日无收益或破触发日最低价则离场
2025-12-01,603758,秦安股份,18.87,5.42,3.18,7.19,极强 (⭐⭐⭐⭐⭐),3.07,极强抢筹；若3日无收益或破触发日最低价则离场
2025-11-20,603928,兴业股份,16.35,3.09,3.14,5.24,极强 (⭐⭐⭐⭐⭐),3.85,极强抢筹；若3日无收益或破触发日最低价则离场
2025-11-19,600152,维科技术,8.98,6.02,3.21,23.86,极强 (⭐⭐⭐⭐⭐),-1.56,极强抢筹；若3日无收益或破触发日最低价则离场
2025-11-13,600222,太龙药业,7.9,4.91,3.16,13.83,极强 (⭐⭐⭐⭐⭐),4.68,极强抢筹；若3日无收益或破触发日最低价则离场
2025-11-10,600218,全柴动力,11.19,4.09,4.0,14.87,极强 (⭐⭐⭐⭐⭐),-1.43,极强抢筹；若3日无收益或破触发日最低价则离场
2025-11-06,000565,渝三峡Ａ,8.75,5.42,3.99,10.43,极强 (⭐⭐⭐⭐⭐),7.43,极强抢筹；若3日无收益或破触发日最低价则离场
2025-10-31,002668,TCL智家,10.89,5.22,3.73,5.93,极强 (⭐⭐⭐⭐⭐),7.07,极强抢筹；若3日无收益或破触发日最低价则离场
2025-10-27,002337,赛象科技,7.23,3.88,3.57,17.36,极强 (⭐⭐⭐⭐⭐),13.55,极强抢筹；若3日无收益或破触发日最低价则离场
2025-09-05,002531,天顺风能,7.59,7.2,3.13,6.16,极强 (⭐⭐⭐⭐⭐),2.64,极强抢筹；若3日无收益或破触发日最低价则离场
2025-09-03,000821,京山轻机,13.3,4.89,3.81,16.43,极强 (⭐⭐⭐⭐⭐),12.41,极强抢筹；若3日无收益或破触发日最低价则离场
2025-08-22,002283,天润工业,7.18,6.21,3.56,12.26,极强 (⭐⭐⭐⭐⭐),0.42,极强抢筹；若3日无收益或破触发日最低价则离场
2025-08-21,002658,雪迪龙,8.6,4.24,3.24,14.01,极强 (⭐⭐⭐⭐⭐),8.14,极强抢筹；若3日无收益或破触发日最低价则离场
2025-08-20,002052,同洲电子,19.0,4.11,3.3,20.1,极强 (⭐⭐⭐⭐⭐),10.53,极强抢筹；若3日无收益或破触发日最低价则离场
2025-08-20,603088,宁波精达,10.6,4.95,3.19,10.49,极强 (⭐⭐⭐⭐⭐),4.91,极强抢筹；若3日无收益或破触发日最低价则离场
2025-08-18,605006,山东玻纤,8.95,4.56,3.36,11.68,极强 (⭐⭐⭐⭐⭐),-2.12,极强抢筹；若3日无收益或破触发日最低价则离场
2025-08-18,002249,大洋电机,8.28,4.81,3.33,15.6,极强 (⭐⭐⭐⭐⭐),-0.36,极强抢筹；若3日无收益或破触发日最低价则离场
2025-08-11,601002,晋亿实业,5.74,4.55,3.9,6.31,极强 (⭐⭐⭐⭐⭐),7.67,极强抢筹；若3日无收益或破触发日最低价则离场
2025-07-28,002697,红旗连锁,6.03,5.79,4.02,9.83,极强 (⭐⭐⭐⭐⭐),7.79,极强抢筹；若3日无收益或破触发日最低价则离场
2025-07-25,002406,远东传动,7.85,4.11,3.01,15.37,极强 (⭐⭐⭐⭐⭐),9.81,极强抢筹；若3日无收益或破触发日最低价则离场
2025-07-22,002320,海峡股份,8.18,8.2,4.36,8.13,极强 (⭐⭐⭐⭐⭐),9.66,极强抢筹；若3日无收益或破触发日最低价则离场
2025-07-22,002358,森源电气,5.58,4.1,3.23,6.5,极强 (⭐⭐⭐⭐⭐),3.05,极强抢筹；若3日无收益或破触发日最低价则离场
2025-07-21,603969,银龙股份,8.3,7.37,4.08,14.32,极强 (⭐⭐⭐⭐⭐),15.3,极强抢筹；若3日无收益或破触发日最低价则离场
2025-07-21,000922,佳电股份,11.73,5.01,3.18,6.13,极强 (⭐⭐⭐⭐⭐),20.97,极强抢筹；若3日无收益或破触发日最低价则离场
2025-07-17,002373,千方科技,10.42,4.51,3.08,6.1,极强 (⭐⭐⭐⭐⭐),9.98,极强抢筹；若3日无收益或破触发日最低价则离场
2025-07-14,002587,奥拓电子,6.98,3.87,3.25,15.22,极强 (⭐⭐⭐⭐⭐),2.44,极强抢筹；若3日无收益或破触发日最低价则离场
2025-07-10,002909,集泰股份,6.48,3.18,3.23,11.93,极强 (⭐⭐⭐⭐⭐),1.39,极强抢筹；若3日无收益或破触发日最低价则离场
2025-07-08,603601,再升科技,5.49,5.78,3.71,24.62,极强 (⭐⭐⭐⭐⭐),7.65,极强抢筹；若3日无收益或破触发日最低价则离场
2025-07-08,603628,清源股份,13.04,4.24,3.09,6.65,极强 (⭐⭐⭐⭐⭐),9.74,极强抢筹；若3日无收益或破触发日最低价则离场
2025-07-07,600719,大连热电,7.1,5.03,3.81,11.8,极强 (⭐⭐⭐⭐⭐),1.69,极强抢筹；若3日无收益或破触发日最低价则离场
2025-07-02,000039,中集集团,8.13,5.31,3.57,6.6,极强 (⭐⭐⭐⭐⭐),0.0,极强抢筹；若3日无收益或破触发日最低价则离场
2025-07-02,603628,清源股份,12.58,3.37,3.55,5.12,极强 (⭐⭐⭐⭐⭐),4.13,极强抢筹；若3日无收益或破触发日最低价则离场
2025-06-24,002676,顺威股份,7.18,5.28,3.18,9.64,极强 (⭐⭐⭐⭐⭐),8.91,极强抢筹；若3日无收益或破触发日最低价则离场
2025-06-23,002805,丰元股份,14.1,4.44,4.24,15.88,极强 (⭐⭐⭐⭐⭐),10.0,极强抢筹；若3日无收益或破触发日最低价则离场
2025-06-23,603386,骏亚科技,12.27,3.98,3.3,7.66,极强 (⭐⭐⭐⭐⭐),6.52,极强抢筹；若3日无收益或破触发日最低价则离场
2025-06-23,002268,电科网安,17.85,4.57,3.03,7.13,极强 (⭐⭐⭐⭐⭐),5.55,极强抢筹；若3日无收益或破触发日最低价则离场
2025-06-16,002401,中远海科,15.28,4.16,3.13,5.73,极强 (⭐⭐⭐⭐⭐),8.97,极强抢筹；若3日无收益或破触发日最低价则离场
2025-06-09,605066,天正电气,8.23,3.39,3.99,17.65,极强 (⭐⭐⭐⭐⭐),-0.97,极强抢筹；若3日无收益或破触发日最低价则离场
2025-06-06,600459,贵研铂业,15.23,6.73,3.16,6.01,极强 (⭐⭐⭐⭐⭐),4.01,极强抢筹；若3日无收益或破触发日最低价则离场
2025-05-21,603901,永创智能,12.12,5.3,3.53,12.01,极强 (⭐⭐⭐⭐⭐),-0.08,极强抢筹；若3日无收益或破触发日最低价则离场
2025-05-14,600428,中远海特,6.6,7.49,4.2,5.79,极强 (⭐⭐⭐⭐⭐),5.15,极强抢筹；若3日无收益或破触发日最低价则离场
2025-05-14,002825,纳尔股份,12.37,3.43,3.06,20.85,极强 (⭐⭐⭐⭐⭐),-2.59,极强抢筹；若3日无收益或破触发日最低价则离场
2025-04-08,603569,长久物流,8.16,7.94,4.04,9.55,极强 (⭐⭐⭐⭐⭐),5.64,极强抢筹；若3日无收益或破触发日最低价则离场
2025-04-08,002201,九鼎新材,6.36,7.98,3.59,10.95,极强 (⭐⭐⭐⭐⭐),9.91,极强抢筹；若3日无收益或破触发日最低价则离场
2025-04-08,603079,圣达生物,15.67,5.45,3.57,15.72,极强 (⭐⭐⭐⭐⭐),16.27,极强抢筹；若3日无收益或破触发日最低价则离场
2025-03-31,002658,雪迪龙,7.15,5.77,3.38,9.31,极强 (⭐⭐⭐⭐⭐),1.12,极强抢筹；若3日无收益或破触发日最低价则离场
2025-03-24,000039,中集集团,9.9,5.43,3.92,8.63,极强 (⭐⭐⭐⭐⭐),-0.81,极强抢筹；若3日无收益或破触发日最低价则离场
2025-03-24,600054,黄山旅游,12.16,3.58,3.13,5.04,极强 (⭐⭐⭐⭐⭐),0.58,极强抢筹；若3日无收益或破触发日最低价则离场
2025-03-18,002052,同洲电子,5.73,4.95,3.69,6.91,极强 (⭐⭐⭐⭐⭐),10.3,极强抢筹；若3日无收益或破触发日最低价则离场
2025-03-14,002404,嘉欣丝绸,6.39,3.57,3.3,6.28,极强 (⭐⭐⭐⭐⭐),0.16,极强抢筹；若3日无收益或破触发日最低价则离场
2025-03-10,600711,盛屯矿业,5.25,5.21,3.01,5.32,极强 (⭐⭐⭐⭐⭐),13.9,极强抢筹；若3日无收益或破触发日最低价则离场
2025-02-27,000026,飞亚达,10.73,7.09,3.31,5.17,极强 (⭐⭐⭐⭐⭐),1.12,极强抢筹；若3日无收益或破触发日最低价则离场
2025-02-24,002097,山河智能,8.03,5.24,3.47,6.88,极强 (⭐⭐⭐⭐⭐),21.17,极强抢筹；若3日无收益或破触发日最低价则离场
