代码,名称,现价,今日涨幅%,信号强度,历史胜率%,操作建议,放量基准日
603900,莱绅通灵,8.98,-2.07,75,67.4%,【试错观察】历史胜率67%。量能萎缩达标，回踩支撑有效，可分批进场。,2026-01-14
000852,石化机械,7.62,-2.81,75,62.6%,【试错观察】历史胜率63%。量能萎缩达标，回踩支撑有效，可分批进场。,2026-01-09
603995,甬金股份,18.91,-1.25,75,64.5%,【试错观察】历史胜率65%。量能萎缩达标，回踩支撑有效，可分批进场。,2026-01-07
002649,博彦科技,14.61,-3.25,75,64.4%,【试错观察】历史胜率64%。量能萎缩达标，回踩支撑有效，可分批进场。,2026-01-12
600714,金瑞矿业,13.6,-4.23,75,65.3%,【试错观察】历史胜率65%。量能萎缩达标，回踩支撑有效，可分批进场。,2026-01-14
