代码,名称,现价,今日涨幅%,信号强度,历史胜率%,操作建议,放量基准日
002350,北京科锐,8.81,-0.68,75,61.9%,【试错观察】历史胜率62%。量能萎缩达标，回踩支撑有效，可分批进场。,2026-01-07
002277,友阿股份,7.98,1.66,75,69.1%,【试错观察】历史胜率69%。量能萎缩达标，回踩支撑有效，可分批进场。,2026-01-08
002208,合肥城建,12.61,-2.25,75,64.8%,【试错观察】历史胜率65%。量能萎缩达标，回踩支撑有效，可分批进场。,2026-01-05
002416,爱施德,13.51,0.37,75,68.3%,【试错观察】历史胜率68%。量能萎缩达标，回踩支撑有效，可分批进场。,2026-01-09
600985,淮北矿业,11.24,-1.49,75,69.3%,【试错观察】历史胜率69%。量能萎缩达标，回踩支撑有效，可分批进场。,2026-01-07
