代码,名称,现价,今日涨幅%,信号强度,历史胜率%,操作建议,放量基准日
002284,亚太股份,16.85,-2.03,75,63.5%,【试错观察】历史胜率64%。量能萎缩达标，回踩支撑有效，可分批进场。,2026-01-13
603900,莱绅通灵,9.26,-1.28,75,67.4%,【试错观察】历史胜率67%。量能萎缩达标，回踩支撑有效，可分批进场。,2026-01-14
603006,联明股份,14.32,-0.42,75,68.1%,【试错观察】历史胜率68%。量能萎缩达标，回踩支撑有效，可分批进场。,2026-01-16
002708,光洋股份,14.25,0.85,75,64.6%,【试错观察】历史胜率65%。量能萎缩达标，回踩支撑有效，可分批进场。,2026-01-13
002649,博彦科技,14.44,1.55,75,64.4%,【试错观察】历史胜率64%。量能萎缩达标，回踩支撑有效，可分批进场。,2026-01-12
