代码,名称,收盘价,量能倍数,5周偏离%,洗盘痕迹,状态
002072,凯瑞德,7.73,1.37,-10.8,无,形态已成
002520,日发精机,6.67,1.37,-3.75,无,形态已成
002635,安洁科技,17.81,1.2,-6.05,有,形态已成
603466,风语筑,11.33,1.18,3.7,无,形态已成
002452,长高电新,11.48,1.18,-2.11,有,形态已成
603456,九洲药业,13.95,1.15,3.59,无,形态已成
002559,亚威股份,11.96,1.14,1.68,无,形态已成
000429,粤高速Ａ,13.88,1.09,1.61,无,形态已成
600889,南京化纤,15.83,1.08,-0.47,有,形态已成
600110,诺德股份,13.44,1.06,-10.39,无,形态已成
600601,方正科技,13.88,1.0,0.16,无,潜伏中
601156,东航物流,16.42,0.99,-1.96,无,潜伏中
603519,立霸股份,14.55,0.98,0.29,无,潜伏中
002856,美芝股份,17.0,0.97,-14.0,有,潜伏中
603213,镇洋发展,14.86,0.96,4.05,有,潜伏中
600039,四川路桥,8.5,0.94,2.66,有,潜伏中
002910,庄园牧场,11.58,0.92,2.08,无,潜伏中
002617,露笑科技,9.38,0.92,2.65,有,潜伏中
000519,中兵红箭,17.91,0.91,-8.39,无,潜伏中
002584,西陇科学,9.12,0.91,0.26,无,潜伏中
603898,好莱客,13.88,0.91,1.08,无,潜伏中
000970,中科三环,15.04,0.9,0.98,无,潜伏中
603135,中重科技,12.75,0.9,-1.15,无,潜伏中
002354,天娱数科,8.08,0.89,-2.72,无,潜伏中
002079,苏州固锝,13.81,0.89,2.45,有,潜伏中
003013,地铁设计,15.9,0.89,4.41,无,潜伏中
002668,TCL智家,10.57,0.88,1.73,无,潜伏中
002600,领益智造,15.6,0.86,-3.54,无,潜伏中
603588,高能环境,15.85,0.86,-6.65,无,潜伏中
002456,欧菲光,9.51,0.85,2.72,无,潜伏中
600177,雅戈尔,7.72,0.85,1.79,无,潜伏中
603679,华体科技,18.15,0.83,-8.5,无,潜伏中
600366,宁波韵升,15.22,0.81,2.13,无,潜伏中
000700,模塑科技,15.18,0.81,-1.12,有,潜伏中
002129,TCL中环,11.03,0.8,4.39,无,潜伏中
600851,海欣股份,8.71,0.8,3.64,有,潜伏中
